Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,0,-0.553984,1.92642,2.33388,3.93931,3.9882,3.3996,2.77798,1.18357,1.80169,
1,0,2.22128,3.1352,3.11185,1.88703,1.34007,3.36325,1.06043,-0.123833,0.260003,
2,0,-0.32646,-2.168,-1.64613,0.769398,-0.952043,-3.10402,-0.378613,-2.79949,-1.45017,
3,0,0.89786,0.009937,0.645557,-0.968177,-5.40518,-5.63323,-5.02688,-3.27666,-4.38166,
4,0,1.87642,-1.08753,-1.50599,-2.6793,-1.94794,-2.98175,-0.782871,-2.14412,-1.29181,
5,0,-1.03392,0.159835,1.32318,0.723235,-0.412729,-0.361309,0.368299,0.298872,-0.666805,
6,0,0.486966,0.0420657,-0.658377,-0.754078,1.69001,0.124713,1.83464,-0.481538,0.0524738,
7,0,2.20529,2.79569,4.41012,1.27413,-0.0950567,-0.768768,-0.135599,0.768474,1.60445,
8,0,2.14347,1.22976,0.0205676,0.81121,2.23486,1.24681,0.121077,-0.51482,-0.133715,
9,0,0.0999591,-0.587466,-1.63101,-3.09401,-3.87579,-2.76509,-3.60128,-3.21622,-2.98879,
