Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,26.5871,17.0853,13.1296,10.8414,10.2175,9.12908,8.98871,6.85681,8.06653,14.0546,
1,18.4883,9.87153,8.13112,5.94979,4.03813,2.2314,3.35799,4.71734,7.15152,8.32104,
2,16.0422,5.69621,3.1146,3.53398,3.40163,4.33881,5.44349,6.06749,7.06871,6.28993,
3,23.9575,13.0952,8.82496,6.99119,6.96189,7.09151,8.06187,9.21048,8.90598,13.6309,
4,20.8377,11.3452,9.11123,7.05593,6.40843,6.51918,5.76293,5.02282,8.41529,11.6913,
5,21.6544,10.6202,7.21245,4.57052,4.82679,6.69265,5.34526,6.7403,8.97292,11.9116,
6,21.6329,12.7025,11.3529,8.58941,10.362,10.544,9.19218,10.6351,11.0859,12.0721,
7,23.751,14.4518,9.85385,10.1039,9.10629,8.80607,9.47746,8.44596,9.95237,14.3263,
8,18.6891,8.21846,6.60992,6.839,7.55539,7.47649,7.32239,8.09436,8.00841,10.5965,
9,23.6058,13.1367,10.4727,8.72126,7.79078,7.5405,8.87725,7.01745,6.84002,12.012,
