Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,2.56486,0.978397,0.746582,0.364111,0.386878,0.0630544,-0.00812053,0.00863499,0.00225199,0.0608345,
1,2.93031,1.02268,0.704474,0.434968,0.489841,0.662385,1.01911,0.94308,1.09546,1.43453,
2,3.83322,2.23345,1.34363,0.364105,0.022578,-0.041384,0.022955,0.664321,0.963856,2.11031,
3,2.75658,0.34385,0.099342,0.00562641,-0.004421,-0.00278703,0.017671,0.357639,0.893377,1.28563,
4,7.21949,4.22955,2.80242,2.7731,3.31327,3.51432,3.87744,4.27145,4.44345,4.94129,
5,7.81954,5.53275,3.6403,2.91932,2.81225,2.5927,3.171,4.78836,5.21503,5.85922,
6,3.62341,1.96672,1.94477,1.99793,1.69555,1.00366,0.274648,0.277239,0.693863,1.46521,
7,1.14415,0.107909,-0.00743547,-0.0226595,-0.00282774,-0.00123685,-0.00411153,0.0181972,0.063194,0.0739338,
8,5.27063,2.48203,1.1419,0.210525,0.60446,1.74841,2.19219,2.40565,3.06045,3.47431,
9,5.53951,1.76204,0.0454053,-0.476575,-0.600767,-0.203421,0.788032,1.93854,2.34559,3.5743,
