Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,4.88582,-0.0563582,-0.261773,-0.198703,-0.314362,-0.265243,-0.293677,-0.18241,-0.179973,0.0997867,
1,4.87423,-0.0364326,-0.205282,-0.229175,-0.240474,-0.344332,-0.327757,-0.285775,-0.310999,-0.0653489,
2,4.77283,-0.0625755,-0.0319805,-0.155546,-0.264424,-0.213151,-0.454641,-0.423296,-0.236421,-0.0793141,
3,4.77647,-0.0339671,-0.145337,-0.31631,-0.146767,-0.34969,-0.220408,-0.337095,-0.148637,-0.0373949,
4,5.17411,-0.188966,-0.172271,-0.189262,-0.238962,-0.414455,-0.261779,-0.353653,-0.268243,-0.136352,
5,5.09802,-0.0932456,-0.193546,-0.272372,-0.28884,-0.268001,-0.182607,-0.148306,-0.275954,-0.118831,
6,4.77696,0.00366507,-0.265197,-0.205034,-0.159871,-0.254415,-0.220589,-0.349449,-0.261513,0.118582,
7,4.8899,0.0755492,-0.226147,-0.267898,-0.292812,-0.16119,-0.214183,-0.431216,-0.123358,-0.0278856,
8,4.61843,0.0847811,-0.200186,-0.202486,-0.273685,-0.259514,-0.343135,-0.180769,-0.208323,0.0195287,
9,4.98388,-0.0633701,-0.296405,-0.464388,-0.361813,-0.334898,-0.334772,-0.186936,-0.388068,0.125039,
