Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,0,-2.31998,-1.07616,-0.181027,0.208799,1.64715,2.97363,3.26029,2.5436,-0.454304,0.0823396,0.0749211,0.682391,-0.0551648,-0.386365,0.137933,1.63344,-1.18915,0.652168,-0.605314,-1.04404,-1.83729,-2.02139,-2.2866,
1,0,0.518536,1.92156,1.44166,-0.60306,0.479803,0.357278,-2.74186,0.409806,1.16112,-2.06043,-1.07354,2.04941,1.82047,1.65788,2.97702,1.26076,0.147391,0.307011,0.0868109,0.858688,0.112584,2.12163,-0.835695,
2,0,0.594749,-0.304814,0.17111,1.52936,-0.369556,1.59702,0.0316413,0.1064,-1.10845,1.66607,-0.512243,-0.620595,-0.647313,0.535021,0.978062,-0.380476,0.716681,-1.56732,-1.09454,-1.18621,-2.57427,-1.64438,0.211965,
3,0,1.04269,-0.655147,-2.00612,0.782243,-0.0837284,0.00798102,-1.4024,-0.251865,-0.143282,-0.60214,0.181697,-0.922858,0.136072,0.144681,1.72259,1.65819,-0.152009,-1.94931,0.0313278,-0.279995,-0.558425,-0.390963,-1.11451,
4,0,-1.66008,-1.47201,-0.979921,0.610003,1.23402,-0.520027,0.853906,1.20004,1.1362,1.0055,1.89824,1.47414,0.731771,1.83081,0.935718,1.64744,-1.03538,-0.00756192,0.985936,0.847493,0.287725,-0.0603638,-1.55058,
5,0,1.21722,-0.129153,-1.40639,-0.270947,-0.814182,1.06779,0.899626,0.819921,2.31783,0.436482,-0.117853,1.40565,-0.18594,0.452497,2.73503,-0.141986,-1.27757,-2.35632,-1.29786,-2.21474,-2.43905,0.731054,-1.96042,
6,0,1.88851,0.799065,-2.03799,1.96931,2.14469,-0.636612,-1.40041,-3.20149,-1.75611,-2.80577,0.946695,-0.495313,0.264422,-1.01203,-2.39224,0.166087,2.41503,3.43867,-1.72265,-4.25825,-5.63519,-1.71744,-1.24478,
7,0,-1.48492,-0.699008,-0.0498469,0.973432,-0.435666,0.709597,-0.586613,-0.399486,-0.767586,1.72389,2.14489,1.45641,0.0852038,-0.194552,-0.159568,-1.51538,-0.531173,-0.914833,-0.603856,0.226825,1.48062,0.988303,0.994932,
8,0,0.281813,0.684582,2.21274,3.00984,2.25179,6.26729,2.69158,2.01554,-0.171173,-0.991601,0.0112983,-0.0152846,-1.14093,-0.128011,-0.245042,-0.636118,-0.427889,0.821366,0.917246,2.63705,4.45218,2.32299,-0.0107101,
9,0,-0.91743,-0.130693,0.549216,1.18065,-0.324059,1.58168,1.38041,-0.542188,0.211383,-1.41285,-0.328599,0.781807,1.61531,2.8791,1.47491,-0.0921765,2.00368,0.208033,0.962805,1.34504,0.731793,0.564833,-0.890522,
