Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,20.097,1.84006,0.539076,0.228441,0.0575926,0.0310482,0.0529235,0.0856813,0.0229839,0.0163737,-0.0246458,0.00754838,0.0479762,0.00754838,-0.0246458,0.0163737,0.0229839,0.0856813,0.0529235,0.0310482,0.0575926,0.228441,0.539076,1.84006,
1,20.0856,1.7927,0.408968,0.119259,0.144647,0.0589412,0.0727039,0.044153,0.117373,0.0721853,0.0142921,0.0623402,0.142758,0.0623402,0.0142921,0.0721853,0.117373,0.044153,0.0727039,0.0589412,0.144647,0.119259,0.408968,1.7927,
2,20.0604,1.79194,0.562061,0.23719,0.0724878,-0.000453372,0.0591377,0.0310554,-0.0558059,0.020841,0.0920532,0.0375917,-0.00131989,0.0375917,0.0920532,0.020841,-0.0558059,0.0310554,0.0591377,-0.000453372,0.0724878,0.23719,0.562061,1.79194,
3,19.9787,1.67755,0.480887,0.138389,0.0883255,0.00638957,-0.000360493,-0.0361734,-0.000518382,-0.0706472,-0.0269829,-0.0448304,-0.00676113,-0.0448304,-0.0269829,-0.0706472,-0.000518382,-0.0361734,-0.000360493,0.00638957,0.0883255,0.138389,0.480887,1.67755,
4,20.0416,1.73441,0.474596,0.185887,0.0668639,0.0248042,-0.0502897,-0.0128467,0.0225952,-0.019243,-0.0310317,0.00222601,-0.056426,0.00222601,-0.0310317,-0.019243,0.0225952,-0.0128467,-0.0502897,0.0248042,0.0668639,0.185887,0.474596,1.73441,
5,20.0125,1.69937,0.497494,0.201222,0.060824,0.104683,0.0584581,0.0547851,0.0794831,0.0273927,0.00984331,0.00790482,0.0136928,0.00790482,0.00984331,0.0273927,0.0794831,0.0547851,0.0584581,0.104683,0.060824,0.201222,0.497494,1.69937,
6,19.9921,1.7307,0.509763,0.160824,0.0610757,0.0444082,-0.0454984,-0.00992775,0.0324783,-0.0290106,0.0303412,0.0786224,0.031151,0.0786224,0.0303412,-0.0290106,0.0324783,-0.00992775,-0.0454984,0.0444082,0.0610757,0.160824,0.509763,1.7307,
7,20.0417,1.69261,0.529962,0.231761,0.0419766,-0.000304991,-0.0601393,-0.0617769,-0.0783657,-0.0268379,-0.0203043,-0.0315406,-0.0827332,-0.0315406,-0.0203043,-0.0268379,-0.0783657,-0.0617769,-0.0601393,-0.000304991,0.0419766,0.231761,0.529962,1.69261,
8,19.9892,1.66552,0.504685,0.223383,0.0956056,0.0233661,0.0431418,-0.00997295,-0.0533088,-0.00362497,-0.00197308,-0.03989,-0.0503235,-0.03989,-0.00197308,-0.00362497,-0.0533088,-0.00997295,0.0431418,0.0233661,0.0956056,0.223383,0.504685,1.66552,
9,19.9458,1.65047,0.424496,0.134383,0.0319062,-0.0498641,0.00165719,-0.0751213,0.0118365,-0.00234709,0.00362555,-0.0222093,-0.0326847,-0.0222093,0.00362555,-0.00234709,0.0118365,-0.0751213,0.00165719,-0.0498641,0.0319062,0.134383,0.424496,1.65047,
10,20.1089,1.74814,0.497619,0.173414,0.0873575,0.0376239,0.0316926,0.0183388,-0.00522285,0.0224282,0.0316852,-0.0665756,-0.0875206,-0.0665756,0.0316852,0.0224282,-0.00522285,0.0183388,0.0316926,0.0376239,0.0873575,0.173414,0.497619,1.74814,
11,20.2134,1.80154,0.564471,0.156169,0.0753578,0.0392443,0.0169722,0.0509009,-0.0436976,0.00734646,-0.026909,-0.0178639,-0.0504487,-0.0178639,-0.026909,0.00734646,-0.0436976,0.0509009,0.0169722,0.0392443,0.0753578,0.156169,0.564471,1.80154,
12,19.9535,1.71593,0.498663,0.185666,0.0485509,-0.0375331,-0.0909387,-0.0810573,-0.0911827,-0.0268061,0.0289376,-0.014358,-0.0273283,-0.014358,0.0289376,-0.0268061,-0.0911827,-0.0810573,-0.0909387,-0.0375331,0.0485509,0.185666,0.498663,1.71593,
13,20.0542,1.72425,0.53894,0.160956,0.078974,0.005081,0.0382583,0.00621324,-0.000263834,0.0470894,0.00406186,0.0245177,0.021223,0.0245177,0.00406186,0.0470894,-0.000263834,0.00621324,0.0382583,0.005081,0.078974,0.160956,0.53894,1.72425,
14,19.9747,1.5987,0.412351,0.0710513,0.0774286,-0.0260277,0.0610804,-0.0137201,0.0432996,0.0177522,0.0786679,0.0621646,-0.0364787,0.0621646,0.0786679,0.0177522,0.0432996,-0.0137201,0.0610804,-0.0260277,0.0774286,0.0710513,0.412351,1.5987,
15,20.001,1.64656,0.412778,0.0573004,0.0102658,-0.0496873,-0.0471251,-0.0756971,-0.0317883,-0.0143208,-0.0537147,-0.0240602,-0.0355245,-0.0240602,-0.0537147,-0.0143208,-0.0317883,-0.0756971,-0.0471251,-0.0496873,0.0102658,0.0573004,0.412778,1.64656,
16,20.0794,1.74328,0.585352,0.235316,0.0745209,0.0553084,0.0126784,0.028596,-0.00437974,0.0320454,-0.0200811,0.0159692,0.0564134,0.0159692,-0.0200811,0.0320454,-0.00437974,0.028596,0.0126784,0.0553084,0.0745209,0.235316,0.585352,1.74328,
17,20.1391,1.74411,0.557979,0.159575,0.0805893,-0.0161392,0.0536833,0.0157055,-0.0395711,-0.0301052,0.0245465,0.0282216,0.0250666,0.0282216,0.0245465,-0.0301052,-0.0395711,0.0157055,0.0536833,-0.0161392,0.0805893,0.159575,0.557979,1.74411,
18,19.9776,1.66838,0.485502,0.145368,0.0619103,0.0507838,-0.00135204,0.10147,0.0423157,0.0344581,0.0238884,0.00697496,-0.031918,0.00697496,0.0238884,0.0344581,0.0423157,0.10147,-0.00135204,0.0507838,0.0619103,0.145368,0.485502,1.66838,
19,20.1194,1.86774,0.57828,0.229292,0.0840289,0.091193,0.117015,0.0229512,-0.0565787,0.0733807,0.047831,0.0944688,0.0924345,0.0944688,0.047831,0.0733807,-0.0565787,0.0229512,0.117015,0.091193,0.0840289,0.229292,0.57828,1.86774,
20,20.0305,1.72428,0.49647,0.171603,0.0874065,0.0264007,-0.0213178,0.00792926,-0.00641607,-0.0179304,-0.0196508,-0.000988345,-0.0409993,-0.000988345,-0.0196508,-0.0179304,-0.00641607,0.00792926,-0.0213178,0.0264007,0.0874065,0.171603,0.49647,1.72428,
21,20.134,1.70331,0.511805,0.202698,0.083121,-0.0118278,-0.0233566,-0.0496285,-0.0983516,-0.036455,0.0390459,-0.00220797,-0.00414295,-0.00220797,0.0390459,-0.036455,-0.0983516,-0.0496285,-0.0233566,-0.0118278,0.083121,0.202698,0.511805,1.70331,
22,20.0567,1.71123,0.463437,0.190332,0.0561463,0.00856895,0.0356253,-0.0188869,-0.026372,-0.0486899,-0.0140664,-0.0442417,-0.0462869,-0.0442417,-0.0140664,-0.0486899,-0.026372,-0.0188869,0.0356253,0.00856895,0.0561463,0.190332,0.463437,1.71123,
23,20.0051,1.75476,0.53932,0.177818,0.0947662,0.0696214,0.0191999,-0.0217769,-0.0122918,-0.00124565,0.0941647,0.0490095,-0.0777465,0.0490095,0.0941647,-0.00124565,-0.0122918,-0.0217769,0.0191999,0.0696214,0.0947662,0.177818,0.53932,1.75476,
24,19.9075,1.64171,0.408807,0.101538,0.114729,0.0184206,0.0644844,0.0248275,-0.0200833,-0.00313616,-0.0155424,-0.0118839,0.0148121,-0.0118839,-0.0155424,-0.00313616,-0.0200833,0.0248275,0.0644844,0.0184206,0.114729,0.101538,0.408807,1.64171,
