Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,10.9449,5.58153,3.49431,2.21588,1.30765,0.642195,0.243289,-0.00456553,-0.30347,-0.6376,-0.964186,-1.18561,-1.23757,-1.18561,-0.964186,-0.6376,-0.30347,-0.00456553,0.243289,0.642195,1.30765,2.21588,3.49431,5.58153,
1,12.9502,8.33055,6.83493,5.7762,4.96806,4.33474,3.78474,3.34956,2.98151,2.75274,2.61002,2.50366,2.5198,2.50366,2.61002,2.75274,2.98151,3.34956,3.78474,4.33474,4.96806,5.7762,6.83493,8.33055,
2,10.608,6.19715,4.78544,3.67075,2.70556,1.88493,1.2905,0.90124,0.597523,0.387906,0.25947,0.179837,0.133321,0.179837,0.25947,0.387906,0.597523,0.90124,1.2905,1.88493,2.70556,3.67075,4.78544,6.19715,
3,16.8431,11.1458,8.48775,6.41665,4.7223,3.21559,1.91874,0.8792,0.0618321,-0.535397,-1.06731,-1.38865,-1.47038,-1.38865,-1.06731,-0.535397,0.0618321,0.8792,1.91874,3.21559,4.7223,6.41665,8.48775,11.1458,
4,7.47667,2.93457,1.64406,0.809162,0.279859,0.0337562,-0.0382579,0.00968642,0.0916222,0.108165,0.076256,-0.0132234,-0.057489,-0.0132234,0.076256,0.108165,0.0916222,0.00968642,-0.0382579,0.0337562,0.279859,0.809162,1.64406,2.93457,
5,15.5949,10.4491,8.24181,6.46261,5.01286,3.94861,3.33093,3.11589,3.11827,3.22166,3.39153,3.48159,3.46464,3.48159,3.39153,3.22166,3.11827,3.11589,3.33093,3.94861,5.01286,6.46261,8.24181,10.4491,
6,10.0691,5.54501,3.96083,2.77025,1.90652,1.32242,0.828259,0.481869,0.253198,0.133142,-0.00415607,-0.111249,-0.166775,-0.111249,-0.00415607,0.133142,0.253198,0.481869,0.828259,1.32242,1.90652,2.77025,3.96083,5.54501,
7,12.979,7.62417,5.22368,3.16272,1.56951,0.337781,-0.424547,-0.755062,-0.743154,-0.587619,-0.333324,-0.109131,-0.0213643,-0.109131,-0.333324,-0.587619,-0.743154,-0.755062,-0.424547,0.337781,1.56951,3.16272,5.22368,7.62417,
8,17.0972,12.154,10.1866,8.57796,7.22283,6.02794,4.9529,3.93579,3.02454,2.27128,1.681,1.25242,1.11724,1.25242,1.681,2.27128,3.02454,3.93579,4.9529,6.02794,7.22283,8.57796,10.1866,12.154,
9,18.8581,13.3288,10.7187,8.4451,6.50094,4.70404,3.14866,1.75928,0.491066,-0.538223,-1.26085,-1.69766,-1.85805,-1.69766,-1.26085,-0.538223,0.491066,1.75928,3.14866,4.70404,6.50094,8.4451,10.7187,13.3288,
10,10.3164,5.38535,3.65466,2.5719,1.8177,1.28262,0.913841,0.684446,0.500741,0.399599,0.262573,0.120331,0.0804354,0.120331,0.262573,0.399599,0.500741,0.684446,0.913841,1.28262,1.8177,2.5719,3.65466,5.38535,
11,24.5185,19.4977,17.3105,15.5195,14.0241,12.7378,11.5823,10.5802,9.8121,9.16257,8.66874,8.31727,8.20855,8.31727,8.66874,9.16257,9.8121,10.5802,11.5823,12.7378,14.0241,15.5195,17.3105,19.4977,
12,16.4416,11.923,10.4312,9.36203,8.57844,8.04154,7.60637,7.29715,7.09724,6.86986,6.696,6.64436,6.64649,6.64436,6.696,6.86986,7.09724,7.29715,7.60637,8.04154,8.57844,9.36203,10.4312,11.923,
13,8.37604,4.13059,2.98524,2.26936,1.76015,1.3749,1.04914,0.680584,0.310756,0.0449468,-0.181649,-0.320246,-0.419283,-0.320246,-0.181649,0.0449468,0.310756,0.680584,1.04914,1.3749,1.76015,2.26936,2.98524,4.13059,
14,10.485,5.76711,3.96563,2.54583,1.37595,0.482501,-0.255008,-0.851727,-1.25778,-1.54323,-1.79322,-1.88775,-1.92054,-1.88775,-1.79322,-1.54323,-1.25778,-0.851727,-0.255008,0.482501,1.37595,2.54583,3.96563,5.76711,
15,6.77795,2.70773,1.68385,1.03488,0.614764,0.387487,0.230112,0.0969897,0.0759467,0.0985487,0.153894,0.195693,0.246876,0.195693,0.153894,0.0985487,0.0759467,0.0969897,0.230112,0.387487,0.614764,1.03488,1.68385,2.70773,
16,16.125,11.1462,9.39141,8.19182,7.28121,6.80336,6.55114,6.40754,6.30876,6.20642,6.02148,5.78192,5.72029,5.78192,6.02148,6.20642,6.30876,6.40754,6.55114,6.80336,7.28121,8.19182,9.39141,11.1462,
17,9.84203,4.58873,2.64691,1.4508,0.807378,0.500192,0.272806,0.11116,0.0101321,-0.0788706,-0.182562,-0.344341,-0.411478,-0.344341,-0.182562,-0.0788706,0.0101321,0.11116,0.272806,0.500192,0.807378,1.4508,2.64691,4.58873,
