Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,17.7805,1.06576,0.33942,-1.58985,-1.50497,-1.25018,-1.96841,-0.639726,-2.5618,-0.191565,0.674298,-1.08533,0.0429865,0.307382,0.153683,-1.0742,-0.267368,-1.08854,-1.09553,0.517806,-1.60895,-1.55028,-2.05507,-1.35008,
1,15.5924,-0.473537,0.191519,-0.29447,-0.692377,-0.725517,-1.00382,-0.651212,-0.160101,0.3248,-0.434767,-1.83424,-2.19764,0.0856689,-0.421603,-2.46764,-0.930866,1.03086,-0.385763,-0.509931,-2.99999,-1.26406,0.636109,-0.41382,
2,17.9429,2.23983,0.504271,-0.538257,-0.463899,-0.286659,-1.74965,0.839005,-0.519913,-2.59542,-0.919795,-0.879345,-0.950308,-1.08691,-2.56621,-0.230664,-1.05875,-1.38269,-0.884278,-0.848685,-0.632326,-2.05878,-0.222219,-1.65122,
3,14.5344,-0.540374,-0.165664,-0.614337,-1.37859,-0.217447,-0.486346,-2.11106,-0.201629,-0.355959,-1.22726,0.102648,-0.452357,-0.287957,-2.17126,0.517551,-0.913833,0.223642,-1.06601,-0.221413,-0.431236,0.177001,-2.51151,-0.201024,
4,15.4994,0.491667,-1.10332,-1.56024,-1.75408,-1.96298,-2.31272,-0.662615,1.07652,0.468976,-1.70985,-1.29537,-0.256922,-1.93361,-0.767696,0.113349,-0.865841,1.79863,-0.971799,-0.859731,-0.252683,-0.0991545,-0.952174,-0.127795,
5,16.0029,0.0679615,0.326277,0.720339,-1.52059,-2.90304,-1.44958,-0.61883,-1.84222,-0.628908,-1.09383,-2.10679,-1.102,-0.789485,-2.13303,-0.937032,-0.399455,-0.224049,-0.449647,-0.374137,0.633904,-0.272112,-1.00886,2.10223,
6,14.8342,0.431411,-0.66427,-1.34785,-2.90278,-1.6114,-0.558499,-0.0353191,-0.804713,-0.0544419,-0.312728,-1.54331,-0.236292,-1.64941,0.412155,-0.436624,-1.78753,-1.04073,-0.920511,-0.511801,0.0536088,0.404851,0.38707,-0.105043,
7,17.5512,-0.0231217,0.915076,0.348917,-0.777332,-1.46758,-0.0820303,-2.10041,0.11615,-1.62172,-1.09065,-2.33904,-2.05885,-1.54865,-0.251127,0.0356002,-0.968123,-2.07441,-1.49334,-0.905137,0.810631,-1.34688,-1.91927,2.29013,
8,17.1321,-0.292652,-1.78288,-0.298342,-0.715384,-2.29423,-0.646042,1.50727,-0.294097,-2.47207,-1.42454,0.339962,0.783779,-2.52484,-2.15835,-0.838464,-0.415206,-1.33801,-0.710461,-0.405694,-0.260446,-0.728781,-1.90772,1.74508,
9,14.8322,1.80943,0.0362616,-1.36991,-1.07844,-1.09658,-1.1232,-2.04664,1.36709,-0.237337,0.0326732,-0.564581,-1.50435,-0.746606,-2.17353,-0.362889,-1.09736,-1.91574,-1.24954,-1.05266,-0.429924,-0.0196234,-0.277364,0.268602,
