Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,0,-0.144841,-0.889183,-1.98798,-1.13139,-0.0749483,0.97145,1.17389,-0.0118986,-0.0947534,-1.06326,-0.0821959,-0.313233,-0.372413,-0.130209,0.524028,-0.719941,-1.17707,-0.469482,-0.117239,-0.180097,-0.04203,1.01709,-0.210342,-0.476403,0.160767,0.383427,0.683908,-0.703374,-0.333549,0.981266,-0.223824,0.439059,-0.0851194,0.14611,-1.79934,
1,0,0.975281,0.782907,0.78017,0.397714,-0.602825,1.34062,-0.630678,1.07761,-0.891948,-0.90729,0.0422364,0.619168,2.16529,-0.201344,0.253975,-0.79421,-0.517129,0.176055,0.141114,-0.156607,-0.745984,0.191404,0.28299,0.679698,-0.953099,0.723462,0.988303,2.34989,1.74699,1.33881,-0.0171039,0.0329962,0.428801,0.357603,-0.823601,
2,0,0.728038,1.01123,-0.479749,-0.567357,-0.164681,-0.509064,-0.705774,0.0728804,0.716288,0.382655,-1.0984,-0.39689,-0.331439,-1.86171,-0.0760358,0.549569,0.352453,0.282458,0.960718,-0.614134,0.116654,-0.0960577,-0.263329,-0.645241,-0.310458,-0.751974,0.679249,-0.149565,0.163261,-1.42856,-1.51296,1.11647,-1.03071,0.852067,0.0245836,
3,0,-0.765075,-0.357833,-0.576947,-0.551855,-0.70485,-0.864666,0.837819,1.57222,0.663311,0.130734,0.83166,0.611621,-0.124261,1.40272,1.14084,0.966169,1.58107,0.716495,-0.221238,0.608075,-0.864277,-0.38372,-0.680431,0.375204,-1.13373,0.0953839,-0.455817,1.16308,-1.28096,0.107943,0.1337,1.3287,-0.449907,0.0520234,0.161205,
4,0,0.80277,1.16726,1.09241,1.04212,1.75765,0.692749,-0.210334,1.96691,-0.512266,-0.447576,0.579329,1.15781,0.238025,-0.0871925,-0.333402,-1.73895,-0.393989,0.386932,0.748045,0.112299,-0.260852,-0.179453,-0.453577,-0.359039,-0.252807,-0.39511,0.163207,-1.26945,-0.803603,0.241625,0.477567,0.577211,-0.661537,-0.182683,-0.458038,
5,0,-0.852141,0.330441,-0.409144,0.00316227,-0.247117,1.1801,0.0389268,1.21367,-1.02486,-0.142315,0.751936,-0.611153,-1.23373,-0.867283,-0.0251519,-0.487899,0.618761,0.150536,1.9166,1.6321,1.02557,-0.270992,0.538901,-0.0279155,1.19541,0.603001,-0.164956,0.242856,-0.540279,-0.363957,0.702809,0.100389,0.560494,0.389531,0.0319804,
6,0,0.089029,-0.585652,1.15772,1.02924,-0.223799,-0.0560459,-0.375305,-0.496894,-0.898493,-0.243072,-0.523315,-0.53671,0.117616,-0.742655,-0.269379,-1.06195,-0.666026,0.0482613,0.342994,0.564116,-0.12245,0.411869,0.825732,1.33716,-0.771872,0.435996,-0.153941,-0.80766,-0.0691606,-0.933584,0.770072,1.48916,0.577217,1.10147,1.51029,
7,0,0.459287,-0.741836,0.534034,1.17973,1.20509,0.121236,-0.121631,0.950603,0.461377,0.120836,-1.45875,0.712404,0.0384444,0.965735,1.9667,1.03083,0.733249,-0.415874,-0.731399,0.523566,1.04985,-0.289763,-0.00784498,1.35889,-0.194445,0.0205548,-0.0608837,-1.75494,-0.173578,-0.479483,-0.135531,0.471671,-0.378792,-0.283993,0.584256,
8,0,1.78864,0.640452,0.320518,1.70121,-0.741736,-0.216003,0.0079285,-0.552191,-0.496602,0.0933742,-2.80633,0.467914,-1.97651,0.507648,1.13367,-1.14691,1.11271,-1.16274,0.98807,0.0197289,0.698125,-0.0124757,0.56277,1.20792,1.06091,0.301718,-0.538148,-0.659548,0.130906,1.46709,0.601307,-1.26823,-0.108008,0.565859,0.320312,
9,0,0.0736932,1.33869,0.516641,0.229774,0.148834,0.52567,0.733636,1.43548,0.296669,-0.421473,1.07743,0.678188,0.0954939,0.130271,0.253929,-0.488804,-0.451633,0.69176,0.949221,-1.24716,2.75365,-0.255477,-0.0199959,-0.338123,-0.438019,0.137574,1.968,1.20595,-0.348005,1.47499,-0.62498,0.930441,-0.28734,-0.878239,-0.169303,
