Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,24.529,2.2104,0.701528,0.357828,0.166926,0.0838577,-0.00726192,0.0952383,0.0445675,0.0427902,0.034888,0.00566543,0.0195187,0.0108758,-0.00885243,0.063414,0.0741128,0.0990374,0.0624788,0.0990374,0.0741128,0.063414,-0.00885243,0.0108758,0.0195187,0.00566543,0.034888,0.0427902,0.0445675,0.0952383,-0.00726192,0.0838577,0.166926,0.357828,0.701528,2.2104,
1,24.4555,2.06541,0.709785,0.318283,0.163413,0.0481637,-0.00830223,-0.0197336,-0.0112194,0.017434,0.0256238,0.0685039,0.102038,0.0117214,0.00627562,-0.0165302,-0.0219062,-0.00965769,-0.00390015,-0.00965769,-0.0219062,-0.0165302,0.00627562,0.0117214,0.102038,0.0685039,0.0256238,0.017434,-0.0112194,-0.0197336,-0.00830223,0.0481637,0.163413,0.318283,0.709785,2.06541,
2,24.3793,2.05983,0.693216,0.328509,0.162943,0.0147031,0.0117316,-0.0203927,-0.0310106,-0.0676691,-0.0249717,-0.0686751,-0.0447446,-0.0573878,0.0918624,0.0680505,0.0445493,0.0888122,0.0574183,0.0888122,0.0445493,0.0680505,0.0918624,-0.0573878,-0.0447446,-0.0686751,-0.0249717,-0.0676691,-0.0310106,-0.0203927,0.0117316,0.0147031,0.162943,0.328509,0.693216,2.05983,
3,24.2485,1.98464,0.603241,0.248857,0.054885,0.0497218,0.0309447,0.0349325,0.0101928,0.00202966,0.0265581,0.0158282,-0.021377,-0.0373433,0.00295092,-0.040025,-0.00156886,0.0106276,-0.0202579,0.0106276,-0.00156886,-0.040025,0.00295092,-0.0373433,-0.021377,0.0158282,0.0265581,0.00202966,0.0101928,0.0349325,0.0309447,0.0497218,0.054885,0.248857,0.603241,1.98464,
4,24.3045,2.01661,0.630982,0.223169,0.15156,0.0922986,0.101151,0.0990962,0.065476,0.0779501,-0.0335503,-0.0287029,-0.0642223,-0.0486406,-0.0490941,-0.099948,-0.119984,-0.120263,-0.0377986,-0.120263,-0.119984,-0.099948,-0.0490941,-0.0486406,-0.0642223,-0.0287029,-0.0335503,0.0779501,0.065476,0.0990962,0.101151,0.0922986,0.15156,0.223169,0.630982,2.01661,
5,24.4266,2.03012,0.660354,0.335452,0.177206,0.118776,0.0467349,0.0123198,0.0384325,-0.0447543,0.0298211,0.00116268,-0.0307791,0.0239506,0.0196466,0.0158436,-0.0165525,-0.0196022,0.00504523,-0.0196022,-0.0165525,0.0158436,0.0196466,0.0239506,-0.0307791,0.00116268,0.0298211,-0.0447543,0.0384325,0.0123198,0.0467349,0.118776,0.177206,0.335452,0.660354,2.03012,
6,24.3593,2.04308,0.708707,0.327838,0.222464,0.0742422,0.0451796,0.0654796,0.0700381,0.0490667,0.0672119,0.00411303,0.0287598,0.0158101,0.0241269,0.0691673,-0.0138425,0.00771039,0.0146956,0.00771039,-0.0138425,0.0691673,0.0241269,0.0158101,0.0287598,0.00411303,0.0672119,0.0490667,0.0700381,0.0654796,0.0451796,0.0742422,0.222464,0.327838,0.708707,2.04308,
7,24.4699,2.11388,0.738847,0.318668,0.231778,0.0744092,-0.00812862,0.011052,0.0125659,0.0609437,0.0599047,-0.00758366,-0.00947405,0.018984,0.0668325,0.113045,0.0162159,-0.0175557,0.1053,-0.0175557,0.0162159,0.113045,0.0668325,0.018984,-0.00947405,-0.00758366,0.0599047,0.0609437,0.0125659,0.011052,-0.00812862,0.0744092,0.231778,0.318668,0.738847,2.11388,
8,24.4121,2.11449,0.763436,0.288229,0.150417,0.0919268,0.0317079,-0.031511,-0.000257723,-0.0864527,-0.0395751,0.0139006,-0.0336256,-0.0214482,-0.0581846,-0.095873,-0.060814,-0.125334,-0.0611446,-0.125334,-0.060814,-0.095873,-0.0581846,-0.0214482,-0.0336256,0.0139006,-0.0395751,-0.0864527,-0.000257723,-0.031511,0.0317079,0.0919268,0.150417,0.288229,0.763436,2.11449,
9,24.3433,2.09863,0.728404,0.368935,0.184287,0.00447496,-0.000667238,0.0464684,0.0404849,-0.0131357,0.0372075,0.0309895,0.031235,0.0118892,0.000778963,0.0437414,0.0767618,0.0665934,0.0321062,0.0665934,0.0767618,0.0437414,0.000778963,0.0118892,0.031235,0.0309895,0.0372075,-0.0131357,0.0404849,0.0464684,-0.000667238,0.00447496,0.184287,0.368935,0.728404,2.09863,
