Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,46.6619,25.24,16.3906,11.2123,7.57768,5.14368,3.51591,2.61189,2.32486,2.06784,1.89179,1.51413,1.54178,1.55922,1.44291,1.20656,0.642788,0.207693,0.0351106,0.207693,0.642788,1.20656,1.44291,1.55922,1.54178,1.51413,1.89179,2.06784,2.32486,2.61189,3.51591,5.14368,7.57768,11.2123,16.3906,25.24,
1,48.1221,26.279,16.6903,10.3945,5.8152,2.63736,0.204005,-1.4783,-2.31712,-2.96204,-2.89632,-2.78116,-2.22678,-1.68631,-0.535063,0.661228,1.66914,2.10799,2.40521,2.10799,1.66914,0.661228,-0.535063,-1.68631,-2.22678,-2.78116,-2.89632,-2.96204,-2.31712,-1.4783,0.204005,2.63736,5.8152,10.3945,16.6903,26.279,
2,49.6911,27.87,18.1272,12.2187,8.08557,5.27992,3.76182,3.32232,3.13227,2.90665,2.46016,2.03675,1.68978,1.42374,0.902569,0.278347,-0.392794,-0.919043,-0.91134,-0.919043,-0.392794,0.278347,0.902569,1.42374,1.68978,2.03675,2.46016,2.90665,3.13227,3.32232,3.76182,5.27992,8.08557,12.2187,18.1272,27.87,
3,44.8563,22.8106,13.1145,7.27718,3.96365,2.4551,1.77264,1.19441,0.557253,0.130161,0.249373,0.268401,0.172108,0.153691,-0.0410236,-0.252877,-0.646287,-0.967578,-0.996863,-0.967578,-0.646287,-0.252877,-0.0410236,0.153691,0.172108,0.268401,0.249373,0.130161,0.557253,1.19441,1.77264,2.4551,3.96365,7.27718,13.1145,22.8106,
4,52.7483,30.7957,20.8965,14.4457,10.4108,7.6486,5.88482,4.30566,3.28841,2.41209,1.48342,0.65736,0.446292,0.404659,0.325334,0.314104,0.198673,0.364165,0.485483,0.364165,0.198673,0.314104,0.325334,0.404659,0.446292,0.65736,1.48342,2.41209,3.28841,4.30566,5.88482,7.6486,10.4108,14.4457,20.8965,30.7957,
5,45.0312,23.3568,14.345,8.70033,5.1277,2.80896,1.1793,-0.11713,-1.16684,-1.81941,-2.31237,-2.64066,-2.51392,-2.21852,-1.53374,-1.07188,-0.611682,-0.39956,-0.204813,-0.39956,-0.611682,-1.07188,-1.53374,-2.21852,-2.51392,-2.64066,-2.31237,-1.81941,-1.16684,-0.11713,1.1793,2.80896,5.1277,8.70033,14.345,23.3568,
6,48.9654,27.3647,17.6003,11.6837,7.73577,5.18454,3.06976,1.56021,0.830319,0.342727,0.247935,0.371255,0.404131,0.560128,0.963565,1.4564,1.86411,2.01469,2.15435,2.01469,1.86411,1.4564,0.963565,0.560128,0.404131,0.371255,0.247935,0.342727,0.830319,1.56021,3.06976,5.18454,7.73577,11.6837,17.6003,27.3647,
7,55.3536,33.2826,23.4293,16.91,12.5773,9.83461,7.41926,5.67908,4.58159,3.40632,2.68752,2.63528,2.99013,3.11768,2.85722,2.65001,2.42134,2.10539,1.95501,2.10539,2.42134,2.65001,2.85722,3.11768,2.99013,2.63528,2.68752,3.40632,4.58159,5.67908,7.41926,9.83461,12.5773,16.91,23.4293,33.2826,
8,45.1881,23.0343,13.2778,7.60569,4.15659,2.35828,1.68354,1.43231,1.28866,1.23628,0.805558,0.328242,0.0464651,0.227363,0.4678,0.138287,-0.256338,-0.119092,-0.0305967,-0.119092,-0.256338,0.138287,0.4678,0.227363,0.0464651,0.328242,0.805558,1.23628,1.28866,1.43231,1.68354,2.35828,4.15659,7.60569,13.2778,23.0343,
9,45.315,23.4017,14.1774,8.46552,4.76841,2.49679,1.08503,0.44865,-0.223319,-0.284803,-0.285885,-0.180978,0.0466235,-0.175639,-0.421564,-0.720806,-0.583131,-0.0929848,0.203502,-0.0929848,-0.583131,-0.720806,-0.421564,-0.175639,0.0466235,-0.180978,-0.285885,-0.284803,-0.223319,0.44865,1.08503,2.49679,4.76841,8.46552,14.1774,23.4017,
10,47.0274,25.2429,16.0487,10.4536,7.14551,4.80153,2.95684,1.59453,0.668773,-0.260216,-0.82668,-1.065,-1.12564,-1.45707,-1.70715,-1.86969,-1.74808,-1.27851,-1.0658,-1.27851,-1.74808,-1.86969,-1.70715,-1.45707,-1.12564,-1.065,-0.82668,-0.260216,0.668773,1.59453,2.95684,4.80153,7.14551,10.4536,16.0487,25.2429,
11,47.8978,26.0256,17.0299,11.7697,8.63852,6.28409,4.58208,3.00803,1.62778,0.407435,-0.162044,-0.636322,-0.673112,-0.556004,-0.487975,-0.646986,-1.10387,-1.4617,-1.64187,-1.4617,-1.10387,-0.646986,-0.487975,-0.556004,-0.673112,-0.636322,-0.162044,0.407435,1.62778,3.00803,4.58208,6.28409,8.63852,11.7697,17.0299,26.0256,
