Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,29.6321,2.59573,-1.60297,-0.68898,-3.41566,-3.12764,-0.624462,-0.372854,2.63509,-0.58339,-2.35804,-4.93858,-1.60651,1.7219,-3.07955,3.99943,0.44779,0.53735,-0.972976,0.959793,-0.469368,2.27948,0.429825,0.526405,0.918209,-2.36352,-0.862005,2.84481,-0.495101,-0.928927,-0.835667,0.175381,-1.71354,1.01208,0.218773,1.84255,
1,28.2261,0.748745,-2.61183,-0.731254,0.377812,1.61918,1.26693,0.740179,-0.0106813,-2.39527,-1.09447,1.51763,-1.30651,-3.36931,-1.81981,0.111203,-1.31572,-1.26816,-3.50563,-0.195902,0.123636,1.17049,-1.78724,-1.56082,-2.08025,-1.3574,-0.073718,-2.00218,-0.137718,1.81697,2.09065,2.01621,-0.316157,-0.860379,-1.33407,3.28153,
2,26.3905,-2.44729,-0.522505,0.491341,-2.07391,-1.40742,0.05256,-3.81227,-3.3922,1.73593,-2.23058,-1.79031,-0.568667,0.164347,-0.300673,0.713635,-2.46783,-0.407831,0.855422,1.74532,-4.60756,-1.67899,1.10562,0.849139,1.90572,-0.825209,1.91723,-2.71598,1.63199,0.301199,-1.03513,0.771773,1.77004,0.717567,0.95814,0.0770207,
3,26.211,1.03266,2.31106,0.063893,0.839904,-1.38452,-0.276681,0.360746,2.30235,-1.24783,1.53017,1.92136,0.787629,-2.04128,-0.735696,2.60971,2.25283,-1.03638,-2.13233,-1.15081,0.736574,-0.193855,-0.752,1.35514,0.825853,-2.15151,-1.69406,-2.46381,-0.0633126,-1.44719,2.04044,1.32102,-0.737488,-0.530827,-0.187791,-0.713456,
4,25.1877,-1.16924,-1.66598,-1.23708,-0.728999,1.77432,-1.32218,-0.732926,-1.60371,1.03157,0.53967,-1.11515,0.666206,-1.5672,-1.72188,-0.329077,0.0612336,-1.74883,-1.54626,-1.68427,2.79851,-0.39476,0.785509,-2.36324,-0.88072,-1.38669,-1.96147,3.27276,2.16369,-0.815889,-1.42125,-0.671367,0.0321984,-0.623064,-0.0592273,0.31094,
5,27.1714,1.04577,2.2129,-0.073928,0.908831,1.52698,0.317237,2.99463,-2.08376,0.606502,-0.0150444,-0.235492,-1.995,0.563205,-0.398022,2.07524,-0.23192,-1.42176,0.11076,-2.41577,-0.677114,-1.31381,-0.616493,-0.261907,-2.1033,0.212902,-0.0580043,-0.101552,0.313384,0.716974,0.779527,0.435749,0.152439,-0.164449,1.26993,-1.03534,
6,28.6929,1.76167,0.239736,1.92036,-2.71086,-0.132809,0.696924,-1.59036,1.99202,1.19457,-0.230524,0.243035,2.52245,0.358406,0.642611,3.61264,0.0772046,-2.08799,1.04788,0.675398,0.207276,3.6434,-2.92815,-1.22188,-1.13953,1.85113,1.93759,-1.46807,2.5111,-0.39456,-2.82331,1.60368,-1.8264,1.07059,-1.10024,1.50948,
7,23.9737,1.48897,-2.51142,-1.58199,1.36511,1.3246,1.41886,2.42667,1.87039,-0.980197,-2.24125,-0.671549,-1.03198,-0.855199,-0.242672,-3.51099,-3.97942,-1.45454,-1.92938,1.36415,1.60363,2.89011,-0.170899,-1.89301,1.62131,2.08886,-1.37975,0.133723,-0.538027,0.413066,-0.747042,0.102549,0.173574,-0.051276,-4.54894,-2.59195,
8,29.176,2.50785,-1.19458,-1.26217,1.36509,0.56189,-0.275645,-2.23604,0.292371,-0.28274,-2.09089,-1.92353,-0.500491,-1.3323,0.692793,0.469247,-2.66007,-0.496487,-4.11246,3.71996,-0.176592,-0.440243,1.85389,-0.746788,0.0598244,2.67009,-2.315,1.2654,-0.73782,-1.12874,0.474306,-0.698942,-1.48753,-0.53092,0.982198,3.29931,
9,25.9886,2.11743,-0.0302656,-0.181816,0.620499,-1.03362,-2.64108,0.258703,-1.4336,-2.3318,0.618323,2.86453,-2.02608,-3.30981,-2.48275,2.0967,1.04243,1.99089,-0.367753,-0.243503,1.24386,-2.727,0.143975,-3.12895,-3.28479,-2.81369,0.473271,-1.72494,-1.08641,-0.563725,2.06504,-1.76931,3.31444,1.26519,-1.48336,-1.94939,
