Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,0,-1.41639,0.0117416,-0.454657,0.355345,-0.497402,0.165706,1.27031,-1.1598,0.273464,-1.6424,-1.80445,-1.03225,-1.11829,-0.608183,0.992869,1.17168,-0.644504,-1.79462,0.930306,0.378991,-1.02053,0.484852,-1.50118,1.19444,-0.753143,-0.7926,-0.510669,0.795693,0.297292,0.00128092,-0.574169,1.79449,-0.283436,-0.563755,-1.209,-0.182035,-1.47575,-0.383193,-0.397772,
1,0,-0.0407703,0.921737,1.36552,-0.0560044,0.664831,0.950458,0.663184,0.89871,0.260561,1.76195,-0.398067,-0.135194,0.246617,-1.01097,0.330543,0.627821,0.385394,-1.28786,0.33005,0.136294,0.391849,1.6497,-0.0434851,0.948957,-1.82771,-1.1261,-0.172421,0.512687,0.0799423,-0.618308,0.12612,-0.935025,-0.422015,-0.244442,0.349953,-1.29888,-0.179289,0.799517,0.864406,
2,0,-1.38931,-1.1562,-1.32482,1.20405,-1.43565,-1.02415,-1.02694,0.733041,0.713773,1.13908,1.52135,-0.254095,0.706257,-0.00501261,-0.796844,-0.785671,-0.321826,1.59008,-0.779651,-2.52561,-2.33674,1.1919,-1.97827,-0.255482,0.19872,-0.102904,-0.655338,0.816798,-0.877597,0.0770047,0.498744,-0.895336,-0.247329,1.68772,1.1327,0.537797,0.049199,1.02246,-0.977171,
3,0,-0.488111,0.468901,-0.501182,2.28153,0.372676,-0.929686,0.291293,1.51262,-1.00803,-0.146565,1.0007,0.849431,0.759104,1.37193,1.4143,0.205729,0.321442,1.81735,1.1335,0.352728,-0.342496,-1.02933,-0.78884,-1.52279,0.468351,1.76635,-1.70448,-1.57963,0.838852,-0.306522,-0.0446229,-0.327618,-0.352072,0.977102,-1.2516,0.167104,-0.529959,0.438144,-1.3949,
4,0,1.59355,-2.49334,-1.45472,-2.41805,0.9488,1.48972,-0.200363,0.35476,1.38894,-2.1751,-1.2124,-0.754133,1.55056,-2.15547,0.00192331,-0.584465,-0.262812,1.67983,-0.343469,0.561931,-0.783574,-1.1053,-1.49093,-1.45453,-0.42428,-0.0592482,-0.723546,-1.16945,-1.82233,1.03991,0.355683,-1.1691,-0.737056,1.78579,-1.44555,0.906001,1.43542,0.552804,-1.6373,
5,0,-0.251231,0.763325,-0.677294,-1.18268,-0.0877234,-2.00127,-1.34184,-1.21474,0.639975,1.03429,0.988718,1.89011,-1.31722,1.48212,-1.01723,-1.63794,-1.4841,2.11599,0.899574,0.697175,0.445038,0.472611,0.464007,0.127394,2.00776,-1.11317,0.827604,0.0703191,0.590125,-0.746499,-2.28731,0.65978,0.684037,0.271618,2.69032,0.698165,1.57572,-1.99587,0.108488,
6,0,-1.48873,-0.709818,-0.5723,-1.05369,-1.05996,-0.463427,-0.737272,1.14101,1.60174,0.752934,-1.43733,1.05109,-0.791943,-0.122469,-1.13114,-1.11123,0.790191,-0.024836,-0.646351,-1.62675,1.07014,0.519534,0.260282,-0.134171,1.14553,0.616209,-1.00942,0.956626,-1.17129,-0.483833,-0.350815,0.856283,1.19262,-1.03678,0.652156,0.0306494,-0.0882023,0.612217,-0.678954,
7,0,-0.345411,0.92195,1.33599,1.59093,1.50223,0.282178,1.64962,-0.594492,-0.814702,0.539319,-1.05227,0.579467,0.528655,0.513515,1.53079,0.58672,-0.0997838,-0.0984755,-1.6738,1.01559,1.22292,1.84967,0.49757,-0.707022,-0.279007,-0.139764,-0.494229,1.43008,1.32211,0.789861,1.8136,-0.660987,0.67384,0.429396,-0.663288,-0.01062,-0.0191402,-0.391356,-0.796936,
8,0,0.509085,1.90999,1.27061,-0.227305,0.213224,0.0603827,-0.103015,-0.736733,-0.0524675,-0.239359,-0.778838,-2.10434,-0.286004,1.79431,-1.51185,1.97603,-1.19593,0.930412,-0.493537,0.441951,-2.07158,-1.68219,-1.51511,1.30164,-0.279993,1.1001,-1.17091,0.509981,-0.906611,-0.550854,-1.15187,0.224589,-0.788143,-0.490916,0.364058,1.94888,0.132438,0.0580703,-0.673376,
9,0,-0.421381,-0.72704,1.05448,-1.34164,2.54956,0.299475,2.07198,2.1372,-0.302349,-2.07001,-2.02586,-0.14166,0.901077,0.0936764,0.759417,1.45074,1.44626,-0.0558797,1.50672,0.819426,-0.5998,0.973553,0.271005,0.913154,1.47637,1.51965,0.771143,-0.64851,-0.728593,0.258727,0.141387,-1.39769,-0.0498576,0.702811,0.446636,-0.330231,0.407426,-1.78354,-0.89043,
