Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,28.2177,0.190911,1.00481,0.487115,0.264371,-0.4648,0.220736,-0.670357,-1.01692,-1.25302,0.169605,0.749891,-0.970737,2.01387,-0.147988,1.20295,1.3366,-0.583547,1.9319,0.00292101,1.1286,0.0515098,-0.681916,-1.58498,-1.03738,0.465848,-0.815421,-0.363312,-0.290499,-0.942353,-0.719178,-0.946798,0.837967,0.204532,1.56107,-0.412404,-2.04873,0.202351,-0.728731,-0.21818,
1,28.4802,0.125728,0.719481,0.57196,-0.334946,-0.730042,-0.747298,-0.874098,-1.79937,1.56455,-0.581801,0.472543,1.68059,0.386682,1.62044,1.47788,-0.107092,1.35266,-0.743865,-0.13794,0.718451,-2.3945,1.08202,0.760551,-0.648826,0.452082,-0.602538,0.351707,-0.670202,-0.99626,-0.899968,0.64958,-0.271905,-0.165653,0.131449,0.912421,-2.14151,-1.39004,1.13896,1.30057,
2,31.2883,1.84,-2.00085,0.611789,1.33841,0.60761,0.335393,-0.281215,-0.634922,-1.92971,0.910623,-1.15742,-0.363636,0.589693,-1.24827,0.985476,-0.43817,-1.26874,0.533032,0.259087,-1.50855,-1.20919,-1.16204,-0.850822,-0.331827,1.22067,-0.000842086,-1.2018,-0.892666,-0.3576,0.925801,-0.322964,-1.23125,1.06046,2.36803,-1.37652,-0.173049,-0.4593,0.945235,1.05059,
3,25.8506,-1.23991,1.50631,-0.604864,0.492389,-0.128572,-0.255615,0.902149,-0.345785,0.230426,-1.15235,0.857267,1.09621,-0.347674,0.547919,0.0224038,1.61662,0.806541,0.0268907,-0.418388,0.477488,0.323524,-1.61399,0.946356,0.69494,-0.316763,-0.167037,1.10957,0.156893,0.359821,-0.465944,-0.537323,0.861251,0.417884,2.10887,-1.5431,1.1416,0.468196,0.539759,1.14354,
4,28.4642,1.15486,-0.270365,-0.199686,-0.225336,0.678959,1.71684,0.287232,0.0102632,0.183147,0.523755,-1.14584,-0.551218,-0.991276,0.831287,1.75247,0.13843,0.793418,-0.0034057,0.249396,-1.19317,-0.582367,-0.152556,-0.335037,0.167603,-0.303049,-0.397854,0.497386,0.2883,2.07069,-0.290451,1.00484,-0.935096,1.20257,0.273146,-0.488917,-0.391401,0.6524,-1.14576,0.482587,
5,27.766,-0.595371,-0.244776,0.790229,0.0378601,-1.63415,1.19802,0.928326,1.74598,0.870886,0.324472,-0.792048,-0.217612,-0.170885,-0.79181,-0.285316,-0.159103,-0.342876,-0.0716639,-0.0470976,0.172126,-1.09945,-0.335132,0.114727,-0.0467777,-0.992847,0.566263,0.0926418,0.475232,0.720529,1.68911,-0.840306,0.771043,1.04304,0.0672197,0.420896,-0.298776,0.540957,0.0899804,-0.488613,
6,28.3113,-0.149046,1.24448,0.680604,2.58411,-1.39513,1.3179,1.29882,0.105187,-0.417199,0.784668,-0.133607,0.179071,0.357799,0.925891,0.835989,-0.71416,-0.463074,1.08912,0.650869,-0.0156375,-1.79561,-0.0344249,-1.33161,-0.417934,1.38273,-0.128364,1.57687,-0.574746,1.53714,0.847088,0.351471,0.354987,0.592437,0.152137,1.39137,1.35258,-1.03893,-0.193734,1.02422,
7,30.4491,1.41513,-0.405099,-0.798583,-0.226318,-0.855713,-1.18351,-0.912676,0.1461,-0.0660225,0.553218,-0.876715,-0.820224,1.19531,1.22834,0.607578,1.15951,1.69378,-0.457212,-0.223459,-1.26979,0.885235,-0.906532,0.351404,-0.889302,-0.281439,-0.274546,-0.896467,0.499468,0.325096,1.2326,-0.996128,-1.40376,0.308297,-2.58336,1.7059,0.132902,-0.465533,-0.611841,1.69191,
8,29.0265,1.15178,-0.537361,-0.0144998,-1.10451,-1.65801,-2.62302,-0.602163,2.03357,-2.84131,-1.70299,-0.0187348,-0.00506306,0.0319289,0.0907856,0.230456,-0.136783,-0.0470319,-1.13895,-1.30037,-0.0873274,-0.269567,0.625644,0.250174,0.230624,0.372701,-0.095188,-0.50703,0.0147766,-0.693899,0.173963,-0.815209,-1.55607,3.41073,0.0436803,-0.692077,-0.60392,-1.64764,-0.505653,0.49343,
9,27.4074,0.509927,0.91255,-0.518303,1.66481,-1.27501,-1.57027,0.575604,1.24953,-1.29254,-0.853292,-0.00301098,-1.00173,-1.57065,-0.560173,-0.456878,-0.617536,-0.284073,3.1105,-0.45696,-0.98865,-0.707954,-1.76087,1.17742,-0.625601,0.156285,-1.06904,0.777073,1.66138,-0.441268,-0.570185,0.633245,1.42761,1.3548,0.809136,-0.46014,2.35762,-0.82098,0.799974,1.03937,
