Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,66.8141,7.68145,-17.587,-33.3316,-38.9534,-22.6829,-25.0343,-16.921,1.80655,16.9886,33.3148,30.5826,24.9933,24.9082,8.72264,9.4294,10.419,12.3646,21.8214,25.8435,39.049,33.4749,34.7201,37.1909,33.4678,6.76322,12.6867,9.91805,26.0729,27.8284,16.4253,22.6766,13.7989,25.4361,45.9367,44.1963,49.183,59.1876,57.8165,60.8341,
1,83.5803,74.6332,35.5571,3.32643,-5.21822,-9.63656,-25.9564,-25.712,-10.6396,2.28419,-1.89939,19.5676,35.6443,28.4566,4.08018,0.884209,-4.11025,9.14009,0.160622,1.27358,8.75422,7.99453,32.5627,43.9378,39.6808,42.9155,62.2052,65.6462,68.2209,69.9627,58.1537,56.5235,52.686,44.8073,19.4724,18.2022,16.3735,32.9751,36.8613,55.9061,
2,24.6191,4.80093,-4.35722,-0.733955,0.791162,1.18273,-1.42879,-8.64572,-16.0461,-14.9757,-4.61212,-0.0140553,14.8956,17.6327,10.9464,6.2548,-5.289,-1.86348,-3.34686,-7.94434,-11.8431,-15.6164,-11.4583,-3.11928,0.368416,3.55428,7.58569,2.11967,11.1675,9.65491,12.7164,6.66064,-7.46412,-13.4945,-4.14514,3.52961,5.3787,5.78742,6.50864,18.5374,
3,22.2938,14.7426,-4.1688,-3.65061,-6.1691,-7.42766,-8.0306,-6.50181,-5.34944,-8.01314,0.920716,5.41179,3.92739,9.09966,-2.44846,-4.09232,-5.83502,-1.09074,-2.41134,-0.978232,-4.42865,-5.68334,-7.48815,-8.18007,-5.10493,1.60777,7.44496,9.79262,14.6567,12.5012,9.48079,2.38635,-5.45046,-5.09483,1.60156,5.99176,2.99918,1.69059,3.84922,6.46709,
4,18.2143,6.82562,5.25092,0.902111,0.0761874,4.29482,1.50897,-6.04492,-9.21852,-6.21533,-11.7328,-8.65898,-14.564,-14.7014,-7.41596,0.73151,2.14392,8.47866,8.93093,6.66432,1.53489,1.671,-1.09617,-2.50672,-6.21858,-7.76786,-7.40638,1.76697,0.633033,2.09442,8.04284,6.15052,8.01458,9.02,16.3667,21.9962,26.0364,25.2945,17.2928,11.199,
5,55.5364,44.7964,35.1322,19.8664,5.67242,3.02869,-25.5332,-45.5312,-53.3884,-56.9128,-57.9729,-61.0307,-48.7144,-28.7351,-11.5204,-14.0746,-19.591,-10.617,11.3518,34.0925,23.6401,10.4722,-0.60062,-5.92215,-24.215,-21.1987,6.11611,25.7936,26.2985,15.5228,9.23518,11.6632,17.0186,19.3343,38.4171,63.7465,55.7481,21.2244,22.9561,31.3552,
6,32.2137,-3.5121,2.44975,-1.98343,-3.1021,-12.7992,-16.5347,-13.9086,-14.8669,-14.0298,-13.5482,-17.1243,-14.5182,-8.10857,-12.5757,-6.42649,-0.885482,1.53591,1.81852,-4.61306,-11.4962,-20.8394,-24.5903,-23.7614,-12.4299,0.947324,-0.419236,-2.28868,-2.33828,4.67979,8.68478,11.0646,7.55862,2.56101,-1.51534,0.464589,7.79224,8.39573,15.6187,23.7776,
7,36.071,23.5196,11.8007,0.0665845,-8.27261,-15.3301,-25.7791,-40.8149,-46.3199,-48.677,-48.6507,-36.4925,-38.4934,-32.4493,-37.7637,-36.9704,-32.7118,-23.4721,-9.11434,-4.69371,-15.8943,-22.9195,-34.4441,-32.8759,-21.8794,-6.95642,-2.00401,-4.07325,-5.9097,-1.41837,6.82464,12.0682,13.1737,15.775,13.4904,1.67058,8.73354,22.2479,29.1048,26.2691,
8,66.9951,50.979,25.3504,4.0624,-25.3422,-52.518,-62.1315,-62.5364,-78.4696,-80.5953,-77.5385,-61.0891,-39.0786,-25.5334,-13.792,-1.26589,18.0638,24.9572,30.6529,41.8472,53.1601,62.0103,61.2695,63.5809,54.6578,51.0127,33.0862,38.6242,31.3697,39.4265,45.4601,59.4815,43.4177,36.3237,31.5637,32.2287,32.5749,38.272,42.6963,47.204,
9,21.3374,2.51244,-4.98083,-8.22498,-14.9398,-20.8767,-20.7727,-11.5425,-20.7782,-19.7096,-14.3322,-18.0304,-14.1526,-8.49214,-0.382352,1.66344,4.20375,11.4699,12.5619,11.8483,12.8351,10.666,8.54377,6.30369,4.11127,6.81354,14.7439,20.1884,17.9663,9.55947,8.27381,3.09333,2.63309,2.40014,-2.46555,1.76737,2.28027,1.346,5.15029,9.20679,
