Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,39.8544,0.957293,-0.823536,-1.07868,-1.01166,-1.14371,-1.07646,-1.17523,-1.06886,-1.03578,-1.19871,-1.21324,-1.2212,-1.06829,-1.11588,-1.14349,-1.16126,-1.29405,-1.27938,-1.25221,-1.04573,-1.25221,-1.27938,-1.29405,-1.16126,-1.14349,-1.11588,-1.06829,-1.2212,-1.21324,-1.19871,-1.03578,-1.06886,-1.17523,-1.07646,-1.14371,-1.01166,-1.07868,-0.823536,0.957293,
1,39.8884,0.938161,-1.02212,-1.03327,-0.993101,-1.13529,-1.09359,-1.12768,-1.07389,-1.06141,-1.09055,-1.17153,-1.2682,-1.11479,-1.12334,-1.1034,-1.19918,-1.27246,-1.30066,-1.13692,-1.12198,-1.13692,-1.30066,-1.27246,-1.19918,-1.1034,-1.12334,-1.11479,-1.2682,-1.17153,-1.09055,-1.06141,-1.07389,-1.12768,-1.09359,-1.13529,-0.993101,-1.03327,-1.02212,0.938161,
2,39.8985,1.02379,-0.765318,-1.01594,-1.17841,-1.1947,-1.16126,-1.12548,-1.23236,-1.35145,-1.03038,-1.0403,-1.20617,-1.07052,-1.22289,-1.07236,-1.26349,-1.25645,-1.14668,-1.11592,-1.04591,-1.11592,-1.14668,-1.25645,-1.26349,-1.07236,-1.22289,-1.07052,-1.20617,-1.0403,-1.03038,-1.35145,-1.23236,-1.12548,-1.16126,-1.1947,-1.17841,-1.01594,-0.765318,1.02379,
3,40.1248,1.10126,-0.887858,-1.04516,-1.21226,-1.13313,-1.0512,-1.24875,-1.23772,-1.18558,-1.09837,-1.25339,-1.25504,-1.26618,-1.15948,-1.16926,-0.994782,-1.20792,-1.05937,-1.1807,-1.03497,-1.1807,-1.05937,-1.20792,-0.994782,-1.16926,-1.15948,-1.26618,-1.25504,-1.25339,-1.09837,-1.18558,-1.23772,-1.24875,-1.0512,-1.13313,-1.21226,-1.04516,-0.887858,1.10126,
4,39.9644,0.994533,-0.888673,-1.05135,-0.98526,-1.14712,-1.24979,-1.04336,-1.2243,-1.08889,-1.0412,-1.18933,-1.17233,-1.37382,-1.23172,-1.1518,-1.17885,-1.08791,-1.19015,-1.0756,-1.21061,-1.0756,-1.19015,-1.08791,-1.17885,-1.1518,-1.23172,-1.37382,-1.17233,-1.18933,-1.0412,-1.08889,-1.2243,-1.04336,-1.24979,-1.14712,-0.98526,-1.05135,-0.888673,0.994533,
5,40.0924,0.970235,-0.819295,-0.894898,-0.857086,-1.086,-1.05465,-1.14362,-1.20132,-1.13075,-1.22401,-1.25243,-1.28419,-1.27568,-1.19323,-1.10877,-1.29027,-1.17922,-1.151,-1.1992,-1.34164,-1.1992,-1.151,-1.17922,-1.29027,-1.10877,-1.19323,-1.27568,-1.28419,-1.25243,-1.22401,-1.13075,-1.20132,-1.14362,-1.05465,-1.086,-0.857086,-0.894898,-0.819295,0.970235,
6,40.1186,0.867699,-0.915585,-0.943769,-1.06864,-1.1638,-1.27207,-1.23387,-1.07694,-1.20256,-1.2242,-1.26242,-1.10587,-1.03558,-1.15421,-1.11985,-1.13075,-1.23169,-1.05934,-1.04941,-1.35284,-1.04941,-1.05934,-1.23169,-1.13075,-1.11985,-1.15421,-1.03558,-1.10587,-1.26242,-1.2242,-1.20256,-1.07694,-1.23387,-1.27207,-1.1638,-1.06864,-0.943769,-0.915585,0.867699,
7,39.9941,0.918052,-1.02534,-1.13828,-1.16654,-1.26835,-1.2524,-1.13691,-1.1455,-1.09486,-1.19127,-1.07214,-1.21016,-1.10895,-1.08336,-1.054,-1.13042,-1.11046,-1.19853,-0.99939,-1.05649,-0.99939,-1.19853,-1.11046,-1.13042,-1.054,-1.08336,-1.10895,-1.21016,-1.07214,-1.19127,-1.09486,-1.1455,-1.13691,-1.2524,-1.26835,-1.16654,-1.13828,-1.02534,0.918052,
8,39.9101,0.857759,-0.854705,-0.905476,-1.16571,-1.44572,-1.23398,-1.08747,-1.03145,-1.13853,-1.11659,-1.09013,-1.05687,-1.15718,-1.16468,-1.15075,-1.20538,-1.19347,-1.2324,-1.0647,-1.03518,-1.0647,-1.2324,-1.19347,-1.20538,-1.15075,-1.16468,-1.15718,-1.05687,-1.09013,-1.11659,-1.13853,-1.03145,-1.08747,-1.23398,-1.44572,-1.16571,-0.905476,-0.854705,0.857759,
9,40.0542,0.941701,-0.867082,-1.06477,-1.02848,-1.08867,-1.00944,-1.27023,-1.13717,-1.14834,-1.16754,-1.16059,-1.12141,-1.30634,-1.13012,-1.07048,-1.14673,-1.22257,-1.14133,-1.13314,-1.50871,-1.13314,-1.14133,-1.22257,-1.14673,-1.07048,-1.13012,-1.30634,-1.12141,-1.16059,-1.16754,-1.14834,-1.13717,-1.27023,-1.00944,-1.08867,-1.02848,-1.06477,-0.867082,0.941701,
10,40.191,0.927882,-0.898253,-1.10493,-1.23407,-1.28716,-1.15724,-1.23421,-1.19155,-1.00604,-1.13554,-1.32442,-1.15899,-1.17474,-1.04191,-1.02396,-1.24704,-1.06167,-1.06406,-1.08917,-1.17692,-1.08917,-1.06406,-1.06167,-1.24704,-1.02396,-1.04191,-1.17474,-1.15899,-1.32442,-1.13554,-1.00604,-1.19155,-1.23421,-1.15724,-1.28716,-1.23407,-1.10493,-0.898253,0.927882,
