Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,0,0.214218,-0.00290102,0.269019,-0.012201,0.27356,-0.169947,-0.1176,0.00536787,-0.15954,0.119627,-0.245648,0.0673944,-0.214875,-0.365613,0.355045,0.0434015,0.401132,0.0133099,-0.147255,-0.150986,0.155428,0.0143067,0.110365,
1,0,-0.0547537,-0.130952,0.0858141,-0.207889,-0.28495,-0.0819068,-0.205084,0.29229,0.200895,0.120204,0.575663,0.0416385,-0.0184218,-0.276088,-0.224722,0.016311,-0.296952,-0.00814856,0.0717186,0.0398582,-0.16105,0.00279497,-0.0612089,
2,0,0.058617,-0.128785,-0.061733,-0.258213,0.0461354,-0.264007,-0.0576661,0.129728,-0.0350701,-0.0556628,-0.0582228,-0.260563,0.0189818,0.23183,-0.0125615,-0.024171,0.063125,0.0374258,0.0655525,-0.115148,-0.0194877,-0.230664,-0.0528706,
3,0,-0.102803,-0.195808,-0.185736,0.0593816,0.266333,0.339964,0.0680904,-0.0632112,-0.319767,-0.277446,0.0280405,0.211389,-0.367664,0.103406,-0.0908738,0.223462,-0.191364,-0.0660333,-0.122151,-0.302846,-0.293436,-0.0448594,0.339038,
4,0,0.0192481,0.043061,0.0474714,0.079782,-0.0527706,0.130926,0.431394,0.0102158,0.193424,0.624142,0.527233,0.274179,0.0648285,0.206634,0.24645,-0.225172,-0.0668931,0.192717,0.0276929,-0.293681,0.00727547,0.164865,-0.186225,
5,0,0.180245,-0.179237,-0.183607,0.00788008,-0.139694,0.186208,0.0283452,0.0136375,0.144112,-0.196438,0.267542,-0.213183,0.0587941,-0.289597,-0.234838,0.0276891,0.191672,0.271992,0.350044,0.00787829,0.238438,0.145164,-0.188266,
6,0,-0.187726,-0.190034,-0.249345,0.0484444,0.453434,0.0583942,-0.122334,0.237781,-0.148209,0.00394007,0.210806,-0.127137,-0.182415,-0.346757,-0.113661,0.129212,-0.100984,0.0578684,-0.360558,0.0354644,0.222301,0.149199,0.413297,
7,0,0.229704,0.142152,0.16866,-0.274031,-0.0791532,-0.225776,0.105109,-0.00273157,0.251898,0.18738,-0.0987849,-0.110729,0.134944,-0.22834,-0.191656,0.0740543,0.136357,0.0669565,-0.404843,-0.345774,-0.0982575,0.0747295,0.242768,
8,0,0.135778,0.0197578,-0.0203411,-0.0224101,-0.18628,0.190675,0.106777,-0.256881,0.1531,0.102991,-0.238198,0.0794901,0.156974,0.140229,0.222814,0.137247,-0.0425198,-0.135447,0.0513547,0.0649011,-0.0349396,0.114245,-0.303471,
9,0,-0.286298,0.136744,0.109159,-0.211704,0.113922,0.28717,0.227343,0.0606276,-0.026355,-0.0659133,0.0246948,-0.0340769,-0.0942741,-0.0530725,-0.0809149,-0.115791,0.0486922,0.137446,0.0921089,-0.660053,-0.334516,-0.211784,-0.259326,
