Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,33.3896,20.2357,12.9971,7.65272,4.98693,2.86428,1.17931,0.741326,-1.44068,-3.09378,-3.18888,-2.68404,-0.299474,-0.115318,-0.215223,-0.562855,-2.00351,-3.34921,-2.67491,-0.772664,1.72061,6.88518,10.5941,16.4235,
1,40.4958,23.2965,15.9417,11.3442,6.51941,4.58993,4.58496,2.32097,2.77928,-0.931729,-1.43616,1.1848,0.213527,0.871854,1.24897,-0.35988,-1.793,-1.85287,-2.55817,-2.86761,1.29758,7.31755,13.8763,22.4909,
2,33.5499,20.4557,16.4798,13.8795,10.109,9.01452,5.35263,1.29526,-0.338503,-4.73108,-7.7771,-7.97697,-4.55768,-3.46973,-4.69407,-5.92707,-2.97065,-2.18986,1.39313,3.14379,6.17736,8.69621,11.9463,18.0786,
3,34.4172,18.9583,11.6091,5.21837,3.48276,2.58033,4.77834,5.10312,4.16418,3.24385,2.59931,2.30804,-0.0663055,-1.4524,-1.32862,-0.722764,-0.536298,-0.364356,0.271208,-1.04842,0.130996,2.02094,9.41941,19.3636,
4,27.5842,13.759,8.3863,6.15936,3.07141,1.53529,-1.34225,-1.95412,-1.77609,-0.881563,-0.42979,-1.41045,1.04756,1.54313,1.48396,-0.537816,-0.594228,1.4144,2.73128,3.25795,2.96067,6.08014,10.4897,16.3504,
5,30.6682,17.3569,10.4663,7.55203,5.40249,3.19626,4.09732,3.63999,3.18311,1.54365,-0.603024,1.75053,1.01779,0.644904,-0.264239,-1.86808,-0.74414,0.711573,1.85012,1.51658,4.60117,7.88988,9.74048,15.8397,
6,31.2277,17.0679,10.7614,5.2229,2.27029,0.270184,-0.0894479,-1.44599,-1.31437,-1.01476,-0.636021,0.808123,1.22263,1.04279,2.22532,2.23133,3.2276,1.37093,1.77987,1.68923,4.56676,6.88198,10.3797,16.5634,
7,30.0593,12.6559,5.61103,4.83937,2.76258,1.15525,1.64539,2.24534,2.6137,4.15826,5.01457,4.34828,2.30225,0.887475,-0.0988915,2.77291,1.93511,0.522473,-0.0870021,-0.651428,1.13904,5.68302,9.29301,17.928,
8,29.9474,17.0037,10.1105,6.57787,6.1419,7.17882,8.38992,6.54708,5.34411,3.62884,2.68406,0.657312,-1.46597,-0.919426,-0.639998,-3.21795,-3.12384,0.219987,3.04368,2.95626,2.17921,4.57981,8.4213,14.8485,
9,33.8095,19.9503,14.3843,9.67822,4.18206,0.594156,0.533944,0.285241,2.80119,4.59819,5.63624,4.17254,4.32794,4.16166,3.76697,4.67845,5.27929,3.50624,-0.509486,2.05624,5.02448,8.79349,14.7238,19.8424,
10,32.5912,16.0997,12.101,9.45283,6.22162,3.1037,-0.543318,-3.22337,-3.09706,0.782126,3.17918,6.53231,5.46717,3.47756,2.42347,0.393122,0.141821,1.8479,4.72426,2.8149,2.54012,3.07734,6.00757,15.5901,
11,29.6991,17.4616,10.3049,6.02859,3.05647,0.685926,0.283066,-1.00911,1.14211,0.278778,2.31356,1.46288,-1.58269,-3.46238,-0.699341,-1.35341,-1.24833,-0.824336,1.6955,1.01659,1.5044,2.90509,8.73795,15.1131,
12,41.9582,26.1454,16.7355,10.1971,6.88811,8.66349,4.52185,3.73831,3.0882,5.61231,4.91682,2.94476,-0.972145,-3.13873,-6.84055,-9.6746,-6.44837,-5.45557,-1.84601,2.6586,7.5576,12.4212,17.898,24.8276,
