Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,29.4978,1.10475,0.428017,-0.0488912,-0.170186,0.353907,-0.426046,0.118536,0.413511,0.300602,0.112683,0.127466,-0.231079,-0.450382,-0.0764653,-0.142762,-0.162014,0.290772,-0.220401,-0.0882141,-0.384768,-0.30754,0.360995,-0.603671,-0.406792,-0.0567364,-0.122776,0.141124,-0.0432563,0.0890137,0.127581,0.278398,0.0907396,-0.024325,0.250147,-0.234961,0.227426,0.231923,0.295278,1.23301,
1,29.7229,1.60198,0.110498,0.00692101,0.174033,0.0720561,-0.383401,0.10186,0.0520825,-0.129125,0.445569,-0.144693,-0.0731753,0.0501424,0.021182,0.137527,-0.378625,0.585525,0.102641,-0.40076,-0.0170818,-0.259915,-0.248153,-0.119671,0.000180375,-0.0804897,0.534431,0.0450925,0.299091,0.338476,0.0740516,-0.0340275,0.0772246,0.193576,-0.28078,-0.335145,0.3424,0.0327193,0.335178,1.06542,
2,30.063,0.857306,0.285167,0.0346967,-0.0926642,0.0556802,0.386772,0.10956,-0.0243396,0.038681,-0.295039,0.0458283,-0.501072,-0.489753,0.16383,0.171906,0.207842,0.381801,-0.285475,0.0484972,0.221788,-0.249795,0.0465676,0.12635,0.57699,0.391475,-0.412416,-0.375655,0.0811823,-0.0443309,0.388178,0.300317,0.0256603,0.291961,0.597085,-0.0187675,-0.158268,0.26602,0.635403,1.58421,
3,29.2436,1.38387,-0.0894456,0.186628,-0.130365,0.172644,0.0751179,-0.262015,-0.127414,0.152958,-0.343809,-0.0781431,-0.380084,-0.169495,0.212207,-0.297262,-0.468558,-0.110332,-0.262975,0.16457,-0.0777902,0.143681,-0.209435,0.433355,0.437063,0.205388,0.488641,-0.0507118,-0.247187,-0.330983,0.109699,-0.0899327,0.0223867,-0.0390871,0.0924736,0.39897,0.190917,0.106559,0.468101,1.05233,
4,29.7343,1.04764,0.71395,0.257676,0.489504,0.000697389,0.372967,0.222739,-0.394783,-0.0902029,0.216004,0.0423633,0.078182,0.0911869,0.478671,-0.298178,0.516875,-0.0199748,-0.289155,-0.186126,-0.0761018,-0.0139236,-0.401873,-0.190648,-0.0605355,-0.0599529,0.185349,-0.334235,-0.178158,0.3196,-0.02527,-0.251666,0.0506197,0.332406,0.182747,0.142119,0.0998824,0.207893,0.0874707,0.925465,
5,29.5766,1.26263,0.0400808,-0.0274423,-0.368753,0.167337,0.104854,0.627327,-0.209415,0.183175,-0.0341205,-0.596868,-0.159125,-0.0124992,0.244829,0.156903,-0.104358,0.289747,-0.153295,-0.254718,0.00111224,0.500708,0.0826669,-0.00628113,0.00604269,-0.442395,-0.163937,-0.311758,-0.128676,0.0841341,-0.675237,-0.798221,0.11385,0.231205,-0.743942,-0.412866,0.311861,0.333008,-0.000719385,1.21289,
6,30.1182,1.50025,0.341733,0.645647,-0.00201675,-0.348065,-0.0151068,0.0958692,0.248729,0.330552,0.0174472,0.13266,0.354199,0.310024,-0.21716,-0.0649561,-0.0376777,0.45005,-0.00123652,-0.546062,-0.271058,0.00147628,0.322996,-0.0532164,0.0302855,-0.142434,-0.0474382,-0.0691473,-0.0959314,0.259077,0.576488,0.200676,0.0474448,0.197175,-0.0171701,-0.208231,-0.201194,0.452858,0.436063,1.52435,
7,29.8052,1.39519,0.117433,0.192652,0.252269,-0.0388484,-0.0166108,-0.297082,0.269646,0.169813,-0.102135,-0.109318,0.094395,0.062513,-0.0280538,-0.112114,-0.060767,-0.190231,0.327287,0.187492,0.352002,-0.231195,-0.150667,0.0735189,-0.169838,-0.185182,-0.396351,0.166102,0.0729502,0.303272,-0.0082191,-0.49333,0.277913,-0.336212,-0.0411423,-0.366958,-0.0400858,-0.0562998,0.264898,1.36663,
8,29.1014,0.978205,0.24395,0.226284,0.409745,-0.636911,0.313179,-0.215281,0.187393,0.189738,0.178271,-0.175758,0.232237,-0.0926621,-0.103099,0.154509,0.150039,0.00370984,-0.0354325,-0.172961,0.0351163,0.0222057,0.125399,-0.0261814,-0.0608814,0.397595,0.0564242,0.335924,-0.105106,-0.242967,0.125797,0.0418137,-0.281262,-0.225673,-0.247578,0.380665,0.329832,0.565201,0.480224,1.38832,
9,28.9516,0.908986,0.362934,0.203177,0.599947,-0.151538,-0.0620909,0.0992989,0.0187034,-0.131058,0.0542957,0.112193,-0.0528967,0.155833,-0.351818,0.168903,0.287829,-0.147171,0.186465,0.0844788,-0.31336,-0.0900035,0.141744,0.116862,-0.0543349,-0.0842039,0.421351,-0.0576945,0.436894,0.0942703,-0.152637,0.304416,0.267468,-0.228091,0.135976,-0.07618,0.0761052,0.224838,0.786963,1.18189,
10,29.8806,1.35604,0.596312,0.000920164,0.599597,-0.196196,0.0487765,-0.172168,0.101409,0.00197409,0.400974,0.0195416,0.230183,0.0729963,-0.166986,0.19906,-0.333129,0.479919,-0.165989,0.0139578,-0.276002,0.381954,-0.0549102,0.0663465,0.401552,0.00571028,0.0555468,-0.00560658,-0.430319,-0.394673,-0.303167,0.463596,0.146722,-0.179559,0.355621,0.203081,0.389887,0.313287,0.451897,1.46093,
11,29.7958,1.3061,0.175822,0.471973,0.100342,0.393685,-0.100631,-0.18226,0.0104631,0.0633538,-0.425252,0.0170865,0.147015,-0.0361436,-0.385912,0.11809,0.541747,0.358378,-0.0162638,0.268937,0.0955404,0.1679,-0.109801,0.241368,0.147799,-0.432798,0.150461,0.276182,0.467115,0.129354,0.0506394,-0.407652,-0.339561,0.504847,0.331149,-0.116974,-0.161497,0.319163,0.352122,1.24143,
12,29.8775,1.49792,0.381885,0.0210597,-0.259269,0.19066,-0.610643,-0.187154,0.332933,0.0588813,0.180993,0.588486,-0.198658,0.1873,0.0966935,-0.0919376,-0.0695138,0.419185,0.0894324,0.245729,-0.175369,-0.0580304,-0.160003,0.116899,-0.327294,-0.26306,-0.269604,0.488409,0.455808,0.121569,-0.432035,0.0132374,-0.468736,0.432135,0.114791,0.304483,0.103505,-0.00811904,0.708458,1.55871,
