Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,0,-2.01503,-1.48117,-1.68794,-2.80597,-0.737359,-1.68758,-0.641298,-0.84331,0.0909899,1.37925,-0.668004,-0.328866,-0.230419,1.95652,2.54002,1.02762,-0.601818,-0.472576,-0.631415,-0.607432,0.542799,1.29521,-0.613773,
1,0,-0.502203,1.1682,0.823854,1.60197,1.44172,1.14885,0.990831,0.270449,1.25177,1.21999,-0.0631071,0.729531,0.331727,-0.088052,0.266866,0.630591,0.651356,2.45327,0.0480593,0.166143,0.269605,-0.78354,-1.46868,
2,0,1.26162,3.18514,2.11416,1.06504,4.32813,2.09834,1.79518,3.17186,2.14151,1.41612,-0.270804,-0.404078,2.05904,-0.287108,-0.470911,-2.86178,-1.76288,0.794188,1.02373,1.03483,-2.73407,-1.63072,-1.34584,
3,0,-1.45974,-1.61049,-2.04594,-2.85702,-3.58656,-2.23771,-0.800219,0.620177,0.721221,0.40569,2.24277,1.82561,0.887872,-1.18794,-3.57223,-0.404316,-0.206267,-1.38007,-1.4438,-1.55744,-2.24594,-0.923063,0.0468967,
4,0,-1.32152,-1.41223,-1.14032,-0.052421,-1.55649,-1.66578,-0.593759,-0.188724,3.26744,1.48575,2.19724,2.16612,2.88461,1.41947,0.446599,-0.220665,1.48222,0.157337,0.887772,0.952092,0.871465,2.72662,1.06328,
5,0,0.300038,0.259386,-1.03113,-1.11244,-0.571615,0.394697,0.8762,1.23621,0.610336,1.68459,1.499,0.264318,-0.183823,0.704993,0.700106,0.091911,0.6385,0.837943,0.580682,0.125465,0.443738,-0.420278,0.409502,
6,0,0.616668,1.15313,-0.299695,-0.771014,-0.908453,1.80007,-1.0894,-2.45331,-0.703278,-0.186545,0.00710189,0.839489,-2.66672,-1.31342,-0.7296,-0.00354395,0.612927,0.705487,0.129135,-2.02735,-0.843572,-0.162137,-0.566564,
7,0,3.68619,-0.525414,0.0268509,-1.1087,-0.766436,-0.555823,-1.1976,-1.36781,-0.431108,-1.14166,-0.092393,0.270043,-1.13989,1.43184,2.30952,1.60264,-0.15481,-1.26395,-3.28846,-0.467803,-0.836513,-0.909684,-1.06262,
8,0,1.72114,2.93029,0.722823,1.96239,0.309109,1.55661,1.27473,1.93123,-0.999063,-0.91129,-2.60581,0.138569,-0.341166,0.609061,1.61486,1.1928,1.09864,-1.50141,-0.187767,0.543757,0.058217,-0.739367,-2.93017,
9,0,-1.90455,0.790291,-0.0666322,1.55213,-0.7023,1.58467,1.02491,1.35643,2.3284,1.03521,-0.0481429,-0.322311,-0.356165,0.164982,-0.439479,-1.47483,0.0448543,-0.217413,-0.748672,0.333687,1.02197,1.72305,0.439055,
10,0,-0.35219,-0.131478,0.374664,0.272741,-0.0776963,-0.635019,-1.60502,-1.45519,-0.573857,-0.185575,-0.90333,1.75959,1.19436,-0.360336,-0.282105,0.34209,-1.75097,-3.40078,-2.79273,-1.46331,-2.24588,-2.41363,-1.42411,
11,0,-1.25439,-0.423632,1.06325,-0.65944,-0.333682,-0.86821,0.899701,0.00855952,-1.0678,-0.234645,-0.399451,-0.891678,-0.770145,2.35974,-0.504039,1.69412,1.20549,3.76579,1.08876,1.65208,0.221974,-0.0064556,2.67551,
12,0,0.469366,-0.248239,-0.541019,0.420375,0.539138,0.58848,-1.87702,-2.17854,-1.87449,-1.70548,0.69601,-0.252955,0.177913,-1.07239,0.966878,0.266724,1.45454,0.835324,1.22933,-1.39581,-0.292284,-0.120521,0.301299,
