Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,27.1605,7.28532,5.09688,4.50963,4.2966,4.82065,5.86847,4.271,2.62644,-0.646255,-0.500428,-0.0623186,-2.29446,-2.63592,-1.62407,-0.979997,-1.83644,-0.901143,-1.31103,-0.551772,1.1974,3.75621,6.23902,9.56233,
1,24.2975,5.31723,3.57211,1.93934,3.11022,3.21164,1.63865,0.403586,-0.570751,-0.0463246,1.05068,1.15569,-0.300365,0.00239527,0.165265,-0.390075,2.06923,3.91887,1.41066,0.617766,1.57295,2.1743,4.09694,4.30219,
2,21.7878,4.19613,3.27014,2.70249,3.3884,1.44988,3.38119,2.03789,0.837534,2.98603,2.90584,1.47356,0.729192,2.89851,3.90591,2.61356,2.29948,2.66055,1.45354,3.90234,2.76479,2.45263,2.41507,2.81634,
3,25.0428,5.07446,3.2155,3.39901,2.84005,2.21465,2.86888,0.0651906,0.0912223,0.228877,-1.38418,-1.84286,0.686751,1.69287,3.62666,4.00714,2.37512,1.87253,2.14733,3.09132,1.34653,1.9074,1.03204,6.1017,
4,24.7452,8.70587,3.61247,5.69119,3.29694,3.20741,2.24499,0.252923,0.724132,2.27135,3.03936,4.45245,1.89223,2.33414,0.537174,1.06837,1.60893,0.636866,0.222948,1.64178,2.33161,5.48925,4.59522,5.76197,
5,20.831,4.15121,2.43181,1.52913,2.30257,1.14444,0.350129,0.375106,1.85748,1.03059,0.970654,0.252679,-0.0858107,-1.17076,0.060072,-1.10919,-1.86154,-1.45643,-3.3728,-1.80805,-1.01233,0.317471,2.75662,4.15464,
6,24.0538,5.50077,3.59888,1.29218,1.43345,0.65264,-0.481562,-0.473434,-0.519902,1.34733,0.846104,-1.60389,-1.09045,-0.692192,-0.64093,0.176358,-1.27468,-1.48618,-0.640506,-1.46872,1.98803,3.08236,1.43325,4.83877,
7,25.0643,4.61034,3.75576,0.542533,-0.477722,0.245014,1.64819,1.47655,0.796764,-1.71925,-2.08243,-2.15757,-3.45094,1.44763,-1.12556,-1.21718,0.0664641,-0.518329,1.69191,2.88327,1.86012,0.892425,2.02765,4.34199,
8,20.075,3.65389,1.50648,0.872341,0.30735,1.67738,-1.24414,0.239132,1.83038,1.86598,1.58957,-0.165446,-1.25005,-0.493123,0.571876,0.31811,0.217164,-1.53112,-1.11932,-1.05515,0.46134,-2.04233,-0.25699,3.12203,
9,21.2806,6.27391,4.43369,1.20966,-0.271729,-0.921836,0.797813,-1.08992,-0.726085,-1.97809,-0.521888,-1.04807,0.128695,0.800692,0.09779,-0.334739,-0.814073,-1.53218,-2.24838,0.332096,1.88426,3.48379,4.5266,6.394,
10,22.2395,3.68845,1.85381,1.79351,0.364581,0.248453,-0.812845,-0.957815,-0.329251,-1.738,-1.30016,0.514167,1.35929,-1.26834,-2.18057,-1.81259,0.26696,1.02149,0.646023,0.356199,2.093,1.97348,1.55359,3.62824,
11,23.7049,3.4689,4.49893,3.50361,0.504525,0.226035,0.423205,-0.946741,-0.894211,-1.01739,0.220442,-2.13382,-0.442332,-0.930288,-0.533086,-0.441108,0.435087,1.07543,2.92656,2.03373,2.65884,1.83653,2.66087,3.24208,
12,22.5074,5.5745,3.95133,1.54369,2.04421,3.22376,1.82952,2.24648,1.88235,1.08643,2.8021,2.52983,-0.299188,0.207722,0.654357,0.0258485,-0.0486714,0.298353,-1.2123,3.56317,1.86663,3.08856,3.39264,4.81219,
13,22.483,5.37191,1.5813,-0.475398,-0.388714,1.37713,-0.0873746,-0.672537,-2.9885,-0.863364,0.0318544,-0.367311,1.41312,1.27514,-1.82412,0.409402,0.324751,-0.673871,-1.81937,-0.668399,0.778433,0.561879,1.47605,2.98896,
14,22.8525,3.91545,2.5485,1.03668,0.591416,-1.21133,-1.00745,-0.10904,-0.669604,-1.04389,-0.599438,-2.81985,-2.27025,0.148495,-0.458678,0.133768,0.293997,0.0855544,-0.447131,-0.753857,-0.522572,1.05014,2.30518,5.1685,
15,19.0219,1.58244,0.963359,0.31822,1.1293,-0.0500397,-0.434942,0.352329,1.84484,1.36491,0.604916,0.130391,-0.724544,-0.727074,0.664526,0.150247,-1.51836,-1.74198,-1.22225,1.04328,1.56042,3.49885,1.55247,2.80817,
16,23.5214,3.49768,0.805267,-0.097487,-0.128525,1.32218,2.93282,3.01481,1.08607,1.38289,2.94208,2.07284,2.80818,0.040237,-0.261473,0.249511,-0.951721,-1.03327,-0.589911,1.31469,-0.662127,0.707131,1.28255,4.31507,
17,24.5854,6.39764,5.03082,1.71862,2.81797,1.67362,0.133028,1.81656,0.862306,2.20372,1.24952,0.0351781,-1.17729,-2.06162,-1.15611,0.129082,0.180926,1.38962,1.59472,1.25814,3.6279,1.72231,4.62631,6.05514,
18,20.6765,3.38224,1.86852,1.46293,3.16123,-0.520918,-0.0504216,2.02419,0.97996,-1.36279,-0.700701,0.305518,-0.104049,0.0662343,-0.438259,-0.357658,0.0328629,0.974191,1.68062,0.481508,1.18272,-1.24435,0.187641,2.69915,
19,19.8869,0.556902,1.64576,1.38718,-0.640102,0.582827,-0.666685,-1.63177,-1.32438,0.128997,0.0863218,-0.01443,-0.395341,1.42261,0.876944,-0.108833,0.249569,-0.319686,-0.0955365,-0.237813,-0.219443,1.84937,1.83729,3.03735,
20,20.8673,1.83679,0.307475,0.75677,-1.15722,1.11198,-0.354913,0.209847,-2.76576,-0.374108,-0.479103,0.351914,-0.322641,0.197719,0.840497,-1.10144,0.647688,1.09285,-0.195335,-0.850127,-0.00287209,1.65176,1.79611,3.52529,
21,20.3681,3.67115,0.361959,0.424743,0.115652,-0.764409,-0.595244,-0.66292,-0.431735,-1.04096,-0.857358,-1.63594,-0.420681,-1.3401,1.21638,0.557623,2.09528,1.16348,0.524314,1.67544,0.449024,1.63227,1.16289,3.40558,
22,21.6536,2.67995,1.01315,0.617569,2.99526,2.71814,1.18405,0.575164,-0.0393425,1.29101,2.47538,1.396,-0.370531,-0.327521,0.414946,1.17261,1.26334,1.46248,2.11837,2.80408,1.19489,0.597469,0.936956,1.27442,
23,22.7374,5.20349,4.04587,1.76825,0.946361,2.79292,2.73041,4.3434,2.99669,2.39298,2.92089,2.30185,2.17857,3.33938,3.86835,2.36309,-0.533093,-1.4093,0.975241,1.67271,-0.424721,1.27184,1.69436,5.43796,
24,21.8067,3.73536,1.73442,0.602334,1.10874,1.07828,-0.295863,0.1671,-0.150527,-0.841502,-0.674488,0.214802,0.764723,-0.809429,-1.50887,-0.831132,-0.646927,2.76597,0.430739,1.18311,1.44306,2.18229,2.64354,3.42501,
