Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,2.53523,-0.0953282,-0.25165,0.0204608,0.163223,-0.0850678,-0.256472,0.0548386,0.112061,-0.277819,-0.0983324,-0.130533,-0.0270919,0.0110174,0.0666421,-0.0199894,-0.276333,-0.114073,-0.117204,-0.0659414,-0.0612146,0.0803,-0.105506,0.317637,
1,5.97345,0.26461,0.03253,-0.0718262,0.0287058,-0.042532,0.097259,0.0692314,0.248519,0.120266,0.000764519,0.59406,0.928272,2.52187,0.0525967,-0.186457,-0.225188,-0.372124,0.216744,-0.184748,0.351401,0.124426,0.0696277,0.341378,
2,18.9982,8.53063,-0.618087,-0.5676,0.365564,1.03923,0.308453,0.311652,0.0796494,1.25097,-1.36516,-1.16272,0.576881,4.32238,7.8151,6.59182,0.317735,0.737458,1.31123,0.406991,1.04244,0.258698,4.16297,11.4825,
3,3.2027,0.00675274,-0.111451,-0.294386,-0.42783,-0.149296,0.137692,0.035076,0.392446,0.0205711,-0.455254,0.0437739,1.19201,1.24087,1.16321,0.546039,0.0951006,-0.264702,-0.0385317,0.140375,-0.177704,-0.170833,0.151402,0.163225,
4,2.66529,-0.0642396,-0.130682,-0.219541,0.246888,0.548821,0.56281,0.302128,0.682766,0.914464,0.334205,-0.154351,-0.264314,-0.0442855,-0.117793,0.0589366,0.00262955,0.028104,0.104897,-0.0500135,0.0916102,-0.119254,-0.0662541,0.131023,
5,9.98448,8.36285,7.06724,2.78173,3.24747,3.55791,3.54768,2.76676,2.27032,1.6713,-0.0348228,-0.305188,-0.295924,0.384433,0.210539,-0.384711,1.56131,0.691957,-0.654725,-0.350882,-0.378952,0.519591,-0.800774,0.514476,
6,25.2445,16.5138,11.7259,7.19708,12.0482,7.53138,12.7314,13.5191,12.07,3.68388,1.88769,0.251044,-0.706838,-0.0943237,0.831227,0.21418,-0.52785,-1.06868,-0.597615,0.563754,0.401047,-0.150886,4.80401,9.34454,
7,10.3172,3.85692,0.163842,0.176987,-0.402988,1.92151,2.82435,3.34877,1.48594,0.0914087,0.339524,0.414167,0.503272,-0.110302,-0.474932,-0.240462,-0.245251,0.510049,-0.094559,2.26698,3.67628,4.52612,1.42204,5.32713,
8,15.7147,7.12111,5.19378,9.48094,9.99462,11.3029,9.68474,10.9378,10.4937,9.47876,5.78219,2.40619,0.619731,0.237568,0.0372084,-0.629117,0.692285,1.77422,0.360077,1.24404,0.141924,0.322688,-0.109081,8.74974,
9,16.5985,10.0338,6.79661,0.256776,1.74439,9.24892,17.0768,18.1757,15.0726,12.6022,9.96726,4.49042,-0.582905,-4.5824,-7.11473,-13.5456,-15.5902,-16.113,-14.7943,-3.16726,-0.921442,0.475838,1.46941,6.88516,
10,7.11447,0.25397,-0.986941,0.301507,0.541939,1.09474,1.44681,0.691037,0.573967,-3.37888,-3.54556,-3.66331,-3.71527,-3.13859,-3.33013,-3.59337,-3.96519,-3.97887,-4.33646,-1.88876,0.181972,-0.00328606,0.341851,2.31231,
11,2.65112,-0.179955,0.0112287,0.120923,0.172789,0.29555,0.470676,0.491309,0.209055,0.192935,0.200771,0.0128252,0.32109,0.328605,0.255363,0.173585,0.144673,0.530742,0.109169,0.0679122,-0.0480889,-0.0298608,0.133337,0.0103498,
12,19.1607,16.3698,14.7403,11.3889,5.62552,0.187693,0.177501,1.02823,9.52244,15.7068,17.7103,18.2893,15.6771,18.5476,19.4557,17.9299,17.3163,16.093,6.46117,1.09969,0.457581,0.025788,0.715106,5.14079,
13,26.7002,17.0485,7.95481,6.27916,6.09471,18.1337,23.1691,24.0291,23.8734,24.7206,24.4929,23.8712,25.8868,23.8136,27.2261,29.6689,27.8457,18.1536,1.99529,3.1839,13.2858,18.9938,23.9924,24.0447,
14,24.895,17.6163,11.5984,16.2645,20.6738,31.6205,31.7862,24.7529,22.3843,22.1138,22.086,14.2674,12.6499,4.62889,4.91358,4.35042,3.53177,2.92201,1.46042,6.37601,14.4689,22.634,22.5792,22.0788,
15,54.5682,39.8633,35.9381,34.21,34.155,36.5838,35.5345,36.723,35.2671,35.1017,34.5851,35.4684,27.9925,21.7459,4.26972,-0.726926,2.57371,6.07823,11.8143,17.6923,31.8419,34.1884,34.3467,36.7983,
16,30.476,26.3367,26.9381,26.4199,26.9704,26.2849,20.9593,20.7098,16.2193,11.2391,13.6628,9.0433,7.57551,7.12364,9.20542,12.5852,23.7247,27.3688,27.3837,29.0163,28.3023,25.0598,27.2182,27.1857,
17,28.5749,24.9519,24.441,23.764,25.8875,25.7463,24.8074,25.8251,25.3909,24.6649,23.9684,18.2099,9.27843,6.51068,15.4058,16.2992,24.3271,25.5374,24.5834,25.0929,25.0696,25.1978,25.6643,24.8906,
18,29.2308,25.8718,30.2376,28.217,25.5541,24.8544,27.5128,31.2951,29.0741,35.2544,28.458,19.5512,8.16091,2.14206,8.97303,24.2855,27.6836,34.7926,36.4193,31.4955,30.2759,26.0648,26.6471,26.9794,
19,41.6744,27.371,28.3277,27.2083,27.4138,32.0294,26.2809,29.2524,27.728,32.5864,35.4722,41.7358,42.312,36.0223,43.0716,33.2444,28.7338,25.1282,25.5973,26.0587,27.1813,27.3648,29.2699,35.8063,
20,27.1068,25.0843,25.2426,24.5176,24.2141,24.7393,25.0305,24.0107,24.7183,24.9664,24.664,24.7048,23.8724,10.7818,14.1478,9.54636,5.42868,14.9459,18.5684,24.7427,24.0174,25.6851,26.1307,24.3881,
21,29.9444,26.4245,26.0744,26.4015,25.6571,25.1353,17.8871,16.7429,14.153,13.2331,10.5144,9.77136,3.37949,-0.968459,-2.47708,-6.4902,-9.08763,-8.3324,1.45545,13.8036,24.1258,26.9114,24.6111,25.1554,
22,6.66609,4.62638,3.86979,3.28687,1.85443,3.21422,0.912448,0.824533,0.867052,0.0770384,-0.327925,-0.94919,0.351602,0.350579,0.251641,-0.0576487,0.143277,-0.864692,-0.659463,0.14393,0.868504,2.40297,0.0491457,1.9179,
23,11.9285,8.75581,7.08914,5.99635,6.95469,4.21301,2.33962,0.745639,0.9993,0.994905,0.713621,0.138441,0.486119,0.78464,3.59099,4.20074,0.226324,0.105704,0.32279,-1.79887,-2.5623,-3.07694,-0.0760655,4.95563,
24,17.6023,10.7858,3.56173,-12.0169,-12.4599,-12.5472,-12.6815,-6.52757,-4.76348,-2.92278,-0.518918,1.43164,-0.519744,0.0206045,0.129489,-0.356175,-0.895786,-1.25999,0.197916,0.109772,-0.15558,0.458796,2.5746,9.86897,
