Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,20.3848,0.154554,-0.884579,-1.07598,-0.600046,-2.02881,-0.432199,-0.643311,-0.701711,-0.749945,-3.32998,-0.691835,1.50836,-0.340908,0.451859,-0.393708,-0.269491,-2.19234,1.14284,-1.08451,-0.846237,-2.97104,0.23886,2.35822,
1,17.6253,-0.253001,0.104966,-0.169156,0.41953,1.64703,0.549483,-1.07894,0.628876,0.0162283,-0.00305142,-1.32816,-0.809815,-1.80801,-2.47565,-3.22921,-3.65612,-0.519862,1.77864,-0.678379,0.156504,0.794039,-0.741193,1.17068,
2,17.1449,-1.40985,0.265459,-1.02238,-0.160812,-0.821288,0.74008,-1.48389,-1.83822,0.177407,-1.08436,0.110981,-0.530549,-1.52244,-1.8258,-0.845728,0.27557,1.82119,0.562116,-0.498114,-0.267742,-0.359577,1.32412,1.97932,
3,20.669,1.02199,-0.306191,0.444862,-1.95104,-0.066864,-1.62014,0.204659,-1.54888,0.778128,1.20181,-0.548317,0.840516,0.0552221,0.114392,-0.641429,-1.57507,-0.0490773,-0.920661,0.475935,-0.838324,0.0176171,-0.388397,2.89446,
4,18.9055,1.29523,0.287002,0.891175,-1.41061,0.215187,0.383024,-0.217242,0.398798,-0.919644,-1.32711,1.82289,0.0698089,-0.401214,1.11166,-1.22428,-0.757925,1.08311,0.409078,0.645638,0.111042,-3.23596,0.659569,-0.993001,
5,17.631,-0.434514,1.52418,-0.016857,1.40955,-3.21441,-2.1576,-0.838531,-1.65139,-0.206279,-0.527761,-1.45951,-0.623909,-1.38857,-1.15883,-2.20659,-0.0249468,-0.204487,0.275131,-0.488296,0.35103,-1.05895,-0.646182,1.11541,
6,18.4318,-2.0271,-1.1321,-0.455964,-0.0893574,-1.20381,0.349833,1.12376,-0.225934,-1.21514,-0.922677,-1.1493,-0.358863,0.518987,2.34405,-0.454229,0.353453,-0.735923,0.338808,-1.95204,1.55779,-1.61579,-0.00209031,1.67915,
7,16.1404,0.588009,-1.33161,-0.189618,0.533197,0.409337,-1.61396,-1.23614,0.545471,0.847873,-1.39243,0.891126,-0.220811,0.0671808,-1.56712,-1.24817,-0.356372,1.39383,-1.2318,-0.295759,-1.37328,-0.759001,0.375594,0.824632,
8,17.8871,0.493713,0.613575,-0.141844,-2.13949,-1.41817,-0.0693417,-1.88429,0.947102,-0.98169,-1.26951,0.537924,-1.29983,-1.85266,0.131852,-1.04867,-1.4894,-0.38339,-0.266571,0.346698,-0.681419,0.832246,1.43449,-0.804359,
9,23.7011,0.203579,2.2537,-0.680628,-1.53932,-0.593643,-1.85347,-1.73349,1.34258,-1.23176,-1.38157,1.0632,-1.76004,-2.16183,-3.34455,-3.91802,0.446227,-2.48055,-0.0728005,0.298618,-0.562774,-0.179189,3.08342,1.12916,
