Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,0,2.16625,-0.687556,-0.350137,1.67914,0.214937,0.691811,1.08675,0.172662,1.24045,0.562372,0.276408,-2.21918,-0.385832,-0.214389,-1.07889,0.971347,0.540341,1.37404,0.0312725,0.231505,0.256245,1.37806,1.68873,-1.5764,0.297793,-0.127522,-1.08522,1.47838,2.03717,-0.586136,-0.50549,1.15881,-0.622308,-0.697336,1.30307,
1,0,0.882359,-1.56968,-0.501552,-0.138984,-1.05777,0.434895,-2.62671,-0.491521,1.48828,1.4488,0.130423,0.155395,-0.438583,-2.45328,-1.27694,-1.26041,-1.43059,0.275807,1.24969,2.07435,2.11281,2.95981,0.118373,0.713056,-0.668451,0.596556,-0.267464,0.575177,0.188855,0.856197,0.052152,1.30101,0.0711569,-0.141004,0.0608483,
2,0,-0.329893,-1.72446,-0.95135,-0.214388,-0.606672,-0.615677,-1.10577,-0.277575,-0.111558,2.98514,1.08853,-2.56715,1.93776,-1.59323,-1.0582,-1.40298,-1.66625,0.632964,-1.17424,-0.376212,-1.60331,-1.01511,-2.43765,0.00882419,-0.968455,-1.85145,1.75359,0.358936,0.428259,-0.806871,0.474965,-1.17406,0.111774,0.321566,0.622251,
3,0,-0.999957,-0.592273,1.32683,1.52116,1.35405,-0.470194,0.2579,-0.369459,2.39422,0.901593,0.948897,0.72667,-1.01723,-0.11328,0.0727238,-0.798737,-0.907624,0.158473,-0.992096,-1.8674,-1.15447,1.17454,-0.272242,-0.293871,-1.05342,-1.30147,-1.77666,-2.44421,0.963025,-1.14886,-0.265466,-0.711235,0.120667,-1.66336,-0.434732,
4,0,-1.16353,0.0143965,3.69545,1.80266,2.16275,1.23032,2.19157,1.15127,-0.59878,-0.982968,-1.83999,0.00500231,-2.46883,-0.27148,1.25636,-1.86245,-0.700987,-0.862728,0.705263,-0.944831,-1.83195,0.137188,0.0407529,0.401565,1.59409,0.8095,-0.5091,-1.50987,0.57867,1.17095,0.533032,-1.06026,-0.354233,-0.7555,-1.35367,
5,0,1.86208,0.332276,1.17858,1.2256,-0.0838356,0.711968,0.274966,0.93054,0.0748572,-0.695968,-0.23543,-0.32623,-0.579648,-0.0746187,0.213475,-0.515687,-2.23804,-0.0369911,-1.24642,-0.866931,-0.365311,0.949386,-0.671434,0.923976,-0.650426,-0.391684,-1.47504,-0.17324,-0.236813,-0.58015,-0.473389,-1.35638,-0.976925,-2.37568,-1.25616,
6,0,-0.244211,1.1678,-1.10217,0.903899,-0.287612,0.119197,1.87185,1.78085,0.7576,0.304348,-1.17868,0.253694,-1.1423,-0.805127,-1.33018,0.941375,-1.24976,-0.832936,-1.47057,-0.532536,-2.23267,0.0456463,-0.147541,-0.142897,-0.792719,1.06087,1.08459,-1.07016,0.144976,-1.23961,0.999453,-2.56677,-2.92001,-1.25228,-1.46267,
7,0,1.4688,0.740328,0.621137,0.551999,0.457026,0.266663,0.314943,0.52231,0.0391069,0.388277,0.73608,-0.882647,-1.08138,-1.56789,-1.53434,-1.70729,-0.524544,-0.975247,-2.67747,-2.24279,-1.41479,-0.205364,-0.446969,-0.92351,1.04171,0.208296,-2.62819,-0.416376,-1.59609,-1.57336,0.551418,-0.897839,-0.710945,0.510753,-1.23541,
8,0,2.42276,0.853766,2.43625,0.636387,1.86153,1.07302,1.90103,1.88402,1.50005,-1.2525,-1.27961,-0.935047,1.14582,0.796476,1.40608,0.716689,-1.3432,0.301159,-0.852591,1.73736,0.410511,-0.312932,1.71762,1.43263,2.05638,0.753977,1.74239,2.26853,2.11371,-1.84651,-1.63232,-2.39261,-1.01869,-2.77617,-0.0578953,
9,0,-2.4827,-0.656136,0.506316,-0.147028,0.30862,0.488957,-0.859387,0.427389,0.288103,-0.220038,-0.190413,1.40157,-1.11661,0.174623,0.298713,0.372473,-0.590286,-0.674967,0.020988,1.69182,1.28524,1.04588,-0.191641,-1.0703,-0.680345,0.353961,0.192223,1.48135,1.01638,0.549693,-1.25378,-0.5823,1.25445,-1.01378,-1.48204,
10,0,0.799407,0.119985,0.219922,0.242553,-1.03449,1.58782,-0.300265,0.448052,0.303018,-0.672161,-1.87709,-0.102919,-0.110638,-1.32349,1.00178,-1.90653,0.265193,0.200114,0.853258,-1.17466,-1.12612,0.485385,-0.297384,-0.125707,0.294931,0.837623,2.05726,-0.317766,-1.47798,-0.739875,1.17526,-0.191871,0.172971,0.485691,-0.963801,
11,0,0.430627,1.75697,2.06862,0.965607,-0.041936,2.09894,0.951412,2.76317,1.19568,2.36629,2.32475,1.41313,0.937193,0.12473,2.26469,2.19763,0.277438,-0.935362,0.701499,0.295339,-0.753382,-1.56241,-0.570131,-0.717938,0.35395,1.2104,0.0742372,-0.0257646,1.36595,-0.0921688,-1.57402,-3.23624,0.0538043,0.77275,-1.31864,
12,0,0.387965,2.06068,0.52467,-0.643259,-1.38405,1.06048,0.545673,-2.06082,-0.379616,-1.19215,-0.358057,1.30962,-0.416239,-1.02439,-1.15487,0.14916,-0.933216,0.126661,-0.0944176,0.428613,1.07889,1.80538,1.25131,3.03212,0.13374,0.210818,0.418422,0.36351,0.84391,0.678657,0.0835638,-0.366872,-0.875154,-1.23048,-0.096592,
