Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,24.3737,1.77499,-0.619472,0.641193,0.762789,0.256292,0.818585,1.64834,0.0293373,-0.443042,-0.385534,1.83092,-0.875717,1.33349,0.214566,-0.00806256,-0.38113,0.372271,1.22191,1.14934,0.728225,1.60183,1.70488,0.925269,0.176389,0.0895384,1.15106,-0.613687,-0.444398,-0.119232,-1.56136,1.57588,0.798176,0.355058,1.84588,1.76816,
1,24.199,0.445709,0.31819,1.41193,1.47367,0.645159,-0.72141,-0.6712,-0.377915,-1.58453,0.61449,-0.608853,0.12979,0.702262,-0.908689,0.117367,0.803181,-0.183785,-1.9687,0.0968531,0.451651,-0.203679,-1.13242,-0.798131,-0.229141,0.215471,0.565119,1.2436,-0.207321,-0.657798,-0.873635,0.53857,0.785789,1.48984,0.724135,0.529295,
2,23.4039,2.41819,1.34332,0.411069,-1.20968,-0.937404,-1.40599,0.635305,0.85323,-1.42673,-1.3449,-1.02109,-0.770698,0.493683,0.344374,0.275805,0.45905,-0.532093,1.01465,0.645177,1.38561,2.16713,-0.115274,0.372884,-1.00015,-0.755526,-0.912577,-0.168206,-0.657391,-0.866306,-0.310142,-0.989375,0.241157,-1.23109,0.64411,1.58177,
3,28.9459,3.30403,0.952696,0.176274,-0.533626,-2.33356,-0.418907,0.277019,2.36859,1.40939,-0.269668,-0.382709,2.00555,0.14339,-0.589995,-1.82163,-1.80056,-2.51215,0.934012,0.465318,0.289336,-0.607271,-1.01219,1.14464,1.10388,0.138462,0.141474,1.22913,-1.98917,-0.565781,-2.1925,-3.40672,-0.549884,-1.62585,1.12936,1.942,
4,23.9951,2.54895,0.928681,2.44066,-0.872817,-0.801833,-0.138441,-0.0874575,0.30617,-0.244413,1.0852,0.827289,0.307444,0.526993,-0.573932,0.308659,-0.0281909,0.231697,-1.38367,-1.65964,-1.77295,-0.208942,-0.584911,0.837619,-0.20462,-0.282189,0.411043,0.196896,-0.145685,-0.338669,0.416687,0.544303,0.157143,0.0773414,1.15782,2.46595,
5,25.2771,4.1622,0.151095,0.721069,-0.836912,-0.0730652,0.38489,-0.23598,-0.888152,-1.4404,-1.86362,-0.50815,-0.638614,0.410365,-0.613714,0.303031,-0.504707,0.0599316,-0.944039,-0.429442,-0.0656348,0.196574,1.22748,-0.112644,-1.76117,-2.55593,-0.0476378,-1.17031,-1.06623,-1.67483,-0.917841,-0.308519,-0.692697,1.4885,1.5821,2.84147,
6,24.782,2.67242,1.62372,1.14831,-0.285368,-2.71791,0.541426,-0.323194,1.30815,0.366195,1.25528,0.209999,1.50856,1.1026,0.661905,1.14777,0.756281,0.13301,-0.100731,-0.529801,0.176515,-1.95409,1.10386,-0.0467184,0.157018,0.355828,0.140518,0.808068,0.835214,0.943202,0.359744,-0.0448562,1.49199,2.55907,3.80415,3.24153,
7,24.1276,2.27003,0.741976,0.157375,-0.0941013,-0.497945,0.579265,1.05606,-0.273707,0.0133786,-1.44592,0.197726,1.00711,-0.715567,-0.584666,-0.896267,-0.144068,0.0559399,1.39404,-1.18147,0.0318098,-1.82573,-1.1276,0.642169,2.2448,-0.739659,-1.45218,-0.478158,-0.899951,-0.99509,0.13473,-0.718902,-0.313638,0.585913,1.10055,2.53331,
8,25.4219,2.48582,-0.173194,-0.322625,-1.66989,-0.276118,1.04014,0.806771,0.876917,-0.50583,-0.00869739,0.858246,0.661197,1.00404,-0.451566,-1.25583,-1.46804,-1.09848,0.0727923,3.56597,1.12545,0.467056,-0.282024,-1.06806,0.352316,-0.289755,0.965524,0.211097,-0.0994901,-0.740966,-0.686369,-0.000896433,-0.215457,0.723629,3.20923,5.67232,
9,24.853,4.31818,2.07167,-1.77783,0.569429,0.935664,0.328176,-0.667656,-0.618837,0.490714,0.0261678,0.978601,0.701754,2.82923,-0.994409,1.06591,-0.0156826,0.576057,-0.369198,-0.911293,0.259207,-0.903831,-0.205765,-0.00301454,1.10749,-0.312134,0.824999,0.060135,-1.30606,-0.33424,-0.515489,-0.542438,1.43664,1.97972,2.85895,3.64659,
10,25.8998,3.87709,1.40964,2.97204,0.792569,-0.738178,1.4627,2.17623,0.536736,-1.11374,2.13011,-0.727248,-0.795851,-0.475098,0.340638,-2.18576,-1.73479,-2.96616,-1.17736,-0.206562,0.747831,-0.281374,-0.34106,-0.0507815,0.0554965,-1.43003,0.0681033,1.05387,-0.484521,0.514768,0.419775,0.1401,0.251936,-1.36671,1.72446,2.36643,
11,27.5023,3.8753,3.92302,2.70293,2.33862,1.7943,3.38208,0.97224,0.477968,0.518062,0.651243,0.861272,1.62657,0.903766,-0.539499,0.20675,-0.405008,0.485778,-1.45337,-1.90989,-0.361091,1.18842,0.974346,0.956453,0.73765,-0.382705,0.329163,0.568684,-0.060454,-1.39867,-0.965817,-0.893074,0.839608,-0.828799,1.56892,2.75702,
12,26.0357,4.09562,0.690774,-1.18288,-1.78296,-0.101915,-1.44585,0.238958,-0.908498,0.433592,1.74463,-0.684562,-0.915664,-1.02493,-2.12052,-0.288329,0.0611509,-0.454595,1.89466,1.13929,-0.0702802,1.53583,0.113626,-0.245626,0.183381,0.920139,-0.0757753,0.320524,-1.16221,1.34388,0.657758,0.402916,0.499192,1.36757,0.448338,2.168,
13,24.693,3.02731,-1.1521,0.214471,0.83222,-0.29665,1.14292,1.36544,-0.194471,0.156209,1.09723,-1.64096,-1.14284,0.182589,1.06106,-0.470482,0.170323,0.468269,0.755034,0.519934,0.889059,0.719748,-0.10442,-1.51005,1.14219,0.313816,0.624885,1.94162,1.11502,0.266079,0.178349,0.115561,-1.10285,0.549863,1.27076,2.46521,
14,22.2796,1.30114,1.34884,0.540696,0.526644,-0.98482,-0.269736,-0.480098,-0.188154,-0.431662,-1.0918,-0.151365,-2.16132,-0.881634,0.769744,0.22138,0.202692,-0.269768,0.510635,0.557547,1.70935,0.888159,1.00065,0.609979,1.63987,1.04542,-0.549102,-0.963453,0.961272,-1.16098,-2.54201,-1.77691,0.421353,0.641314,0.10557,1.52328,
15,25.3935,2.12189,1.24431,-0.0557988,0.0670325,-1.85208,0.845292,0.391124,-1.51156,0.519719,1.75195,1.5567,1.06766,0.188069,-1.47301,-0.253493,1.21967,0.0736402,0.0603446,0.618319,-1.95343,-0.232891,-0.721741,0.381193,-0.332195,-2.41902,-0.0454098,-0.0436981,-0.112353,1.20462,0.623904,0.898231,0.402935,0.281289,-0.423385,2.21167,
16,23.7387,3.199,0.66517,0.0415155,-2.20361,0.342563,-0.0687394,0.637233,-0.405177,0.661386,0.726046,0.26746,-1.50439,-0.256198,0.914445,0.85976,1.99199,0.385249,1.48431,-0.615291,-0.310062,-1.77375,0.465737,-1.54062,-1.11623,-1.53139,-0.963245,0.525704,0.434448,1.27916,-1.06002,1.89006,1.44345,0.740369,0.950623,1.85453,
17,25.8629,3.42592,0.735399,-1.19876,-0.479885,-0.399378,1.45409,1.29369,2.04213,-0.0605144,-0.0674242,-0.113665,0.477487,0.34153,0.468442,-0.833286,1.7581,0.700248,0.953493,-0.437074,0.25672,-1.49467,-1.8316,-0.00996523,-0.395918,1.36941,0.271312,0.236257,-1.52317,1.24538,0.456009,1.41156,1.11506,1.56049,1.62774,2.89063,
18,23.721,3.65934,1.88335,1.19642,0.429357,1.07917,-0.113304,0.631264,0.10591,0.937941,-0.771257,-0.0430994,0.183841,-0.75485,-0.40702,0.459625,0.815135,0.0658778,0.915903,0.954653,0.50661,-1.43287,-0.761434,-0.685303,-0.934765,-0.648081,-0.667906,0.75551,-0.0408162,1.34533,0.623064,1.96619,1.00959,0.659086,2.12403,3.5841,
19,22.1267,3.4317,-0.351366,-0.175797,0.322795,1.26034,0.916652,0.178037,-0.0738176,-1.40917,-0.750088,-1.56287,0.235699,1.12274,-1.63456,0.178137,0.37703,-0.567222,0.445981,0.100283,-0.481839,1.21778,0.472794,2.00011,0.627424,-0.0555354,0.732553,2.35846,1.84022,-0.319256,0.315124,0.822494,-0.0801777,0.662826,1.05463,1.33553,
