Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,20.6715,19.7723,12.7005,8.38806,5.59615,5.55012,9.38593,3.45784,0.736465,4.41525,4.12636,8.9635,12.2563,14.0468,15.2508,14.1085,8.98169,12.0409,6.41185,9.66304,16.1665,-3.52547,-3.57864,-1.23881,-0.974538,2.22313,1.79274,0.2147,2.63351,3.29211,-1.46365,-0.66152,-9.06058,-8.72411,-6.54114,-1.53483,
1,22.7864,7.68977,5.55912,-4.05634,-8.22488,-6.13591,-3.10708,1.2077,1.15191,-0.342896,3.55917,5.97629,8.29855,-2.55783,-1.15277,3.51011,1.44164,6.01508,14.0786,2.14752,5.38862,5.55555,0.541146,5.16488,4.10449,2.72671,-4.38579,3.68442,7.15369,4.67184,-7.36191,-7.14351,-8.15596,-7.97996,1.21946,7.80806,
2,49.1137,26.5693,5.40125,16.2958,12.2213,19.5392,22.8289,13.2719,13.6755,1.59258,5.12946,3.07731,8.74689,7.25894,-8.76445,-1.37118,10.2177,14.0259,1.28422,-16.9347,-27.6579,-21.232,-13.1136,-10.3598,1.13596,5.00026,-3.82484,-10.3275,-3.96169,-7.8533,8.3146,14.2581,18.0212,15.3425,20.8971,25.4027,
3,37.1899,15.9511,0.639311,7.53935,15.528,19.28,18.9872,9.51884,-2.53335,-3.13004,-2.90739,-12.4967,-17.2856,-4.52739,6.82621,11.6533,14.9455,5.98741,-14.4409,-25.0497,-31.4143,-26.1507,-19.4688,-5.37624,-2.38045,-7.32745,4.5977,-6.75435,-1.97469,2.439,14.1193,13.773,9.34815,8.6057,9.7214,15.9143,
4,23.3965,9.85325,2.58783,5.41489,12.9946,8.10895,9.23053,-1.60674,-4.3413,-7.62611,-5.40812,-3.65538,-7.12268,-6.65414,-6.2934,-8.95849,-4.15131,-2.68883,-4.02977,-12.2284,-3.01981,-1.24032,2.63025,6.11983,7.51274,5.88644,2.10185,-2.56103,-7.90682,-9.43215,-5.58732,-6.71479,-8.26593,-6.18035,0.848097,8.42514,
5,52.8097,29.6655,13.1556,19.8615,12.5775,-3.64128,-18.1758,-18.3317,-15.0169,1.29643,5.78008,2.94997,-4.40395,-5.82516,1.09834,4.99852,1.94318,7.0208,-7.70255,-7.80382,2.3703,8.32722,5.01036,19.4781,38.6442,39.3324,21.8022,7.81244,-6.75529,-5.70488,-33.9769,-20.2753,-9.56599,9.69647,31.2862,37.1698,
6,38.7504,6.41315,-1.87599,-21.0226,-15.6352,-13.1633,-8.47503,-7.11849,-7.77108,-9.93378,-19.1927,-15.4202,-12.9232,-7.59577,0.258328,7.45062,7.48624,7.94515,6.08629,-3.51966,-22.6118,-20.1088,-23.8362,-21.5068,-12.389,-4.49721,0.510969,-1.98998,-4.67502,0.369566,6.8887,0.0189485,1.58797,12.871,12.4815,11.5171,
7,22.8591,1.47391,-6.56488,-9.0225,-1.98399,7.82954,1.5262,2.50039,-0.00702213,3.38188,-2.88452,-10.3267,-9.93946,-6.4271,-8.05842,-4.72355,-3.05401,-6.28204,-11.3853,-13.0836,-3.07442,-0.591082,-1.02849,1.8853,1.8518,2.10652,10.1267,8.51536,9.11457,0.735359,2.84756,2.81333,7.79226,11.072,9.63061,7.48229,
8,17.5295,6.98485,6.74795,7.69383,6.9725,4.08472,3.96615,1.33579,1.308,-4.40955,-5.63708,-3.68785,-7.05701,-7.91056,-4.0515,-6.49843,-3.86041,-5.62975,-3.01521,-4.76028,-3.75362,-8.42413,0.366531,-8.36639,-8.66907,-8.33155,-5.11294,-7.05854,0.473915,4.71153,3.07908,3.22985,1.9752,2.16669,2.13354,1.16221,
9,37.7482,23.5723,31.3264,27.6626,6.01196,-6.51856,-23.4388,-18.8366,-25.0003,-19.1429,-7.25628,1.78125,11.5664,1.28039,3.24887,1.26266,-5.41328,1.13125,-10.8019,-5.22097,4.08269,8.90483,3.29623,-6.53285,9.96187,8.53729,-4.4454,2.06229,2.07073,-0.9404,6.42735,-2.81974,5.91375,12.6129,8.38029,15.3619,
10,44.1685,7.35491,3.21012,5.32413,9.8369,-0.329729,-11.6797,-17.6814,-14.9731,-4.91052,-8.37947,-2.21537,3.38252,11.6767,17.6152,31.7438,35.3856,36.4945,23.1472,7.61196,4.15912,10.148,17.108,8.66544,1.21879,7.76824,2.93178,-7.17351,-11.0526,-7.59981,-4.40996,-0.204501,2.54225,-0.573645,8.5024,23.8768,
11,26.279,1.14536,-10.7083,-8.70376,-6.66998,-1.49511,-3.5814,-11.1133,-1.99372,-4.38043,-4.87195,-5.72828,-0.318403,-6.27826,-7.80835,-3.67018,8.0208,7.66425,4.30042,4.53793,-7.002,-2.23014,-7.29995,-0.314931,-2.99823,-6.63283,-6.1217,0.31698,-0.940795,1.33681,6.76755,6.86839,6.81077,4.62462,0.244956,9.4661,
12,36.3196,21.4068,12.0781,10.4429,9.18935,4.78999,6.53691,6.59243,-2.45011,-7.63847,-18.9378,-6.92754,-1.20834,0.719058,-4.42213,-10.0771,-3.86528,4.33619,4.32925,-0.849606,-3.99319,-6.06376,-3.76081,2.07457,4.44772,3.8272,3.01637,14.4417,1.48506,-9.21373,-2.12175,0.500063,2.17873,7.61052,8.91373,14.7496,
13,19.0178,0.90981,1.27232,-3.88565,-4.35447,-2.40585,3.92008,9.97117,3.93812,-0.273547,-1.11418,-4.63582,-2.61083,5.92127,5.5358,0.849793,0.867524,2.39161,11.1476,9.10253,6.12242,-0.851208,-4.34971,1.67413,6.22204,10.0706,15.793,7.82176,-0.515396,-4.28589,-5.9693,1.05226,-3.02606,-1.25657,-0.552584,-0.787884,
14,39.2245,4.69183,-3.39495,-7.06232,-7.25449,-7.21879,0.518088,3.64614,10.0283,10.1909,9.57939,6.69028,6.13622,0.623552,-1.17446,-13.7968,-18.5612,-15.16,-7.58968,-0.987384,13.9811,13.4637,3.35439,4.40341,9.21069,-7.68797,-9.09177,-12.4461,6.1032,6.03222,9.7357,11.4568,18.2907,21.9519,20.4064,20.1893,
15,56.9483,17.1556,-5.09788,0.445689,-2.8075,7.32995,13.1843,15.1676,-3.51471,-22.9475,-24.5868,-35.2925,-34.8718,-10.1848,10.8759,-0.800218,1.35532,14.6985,26.1589,47.8321,40.2953,24.1958,0.0302649,-9.51657,-1.01563,-0.992376,12.7977,12.5448,-3.11114,-3.11706,-2.3672,12.1776,-3.20274,-7.55776,10.0721,29.9132,
16,27.4014,4.11696,1.4005,6.92177,4.94032,6.47981,11.8941,1.87122,-4.42611,-5.85732,-7.52798,-5.32268,-1.96081,4.15779,11.5911,5.8519,6.9355,-3.86757,-2.98105,0.878745,1.93431,-12.0444,-7.87271,-8.55846,-9.9138,-5.10384,-12.3692,-19.4065,-14.9025,-7.14153,-6.82113,-8.79764,-2.2189,0.974191,-4.17564,2.03061,
17,35.1956,9.91594,5.18865,6.82136,4.02939,-8.57141,-14.6438,-24.1217,-11.3807,-3.70519,7.10445,10.4324,9.78066,6.68366,12.1359,16.9956,17.0159,15.9633,24.1337,23.6682,17.2824,11.6602,4.59626,12.1732,-0.289051,3.24018,0.379342,-1.664,-6.73127,-5.53642,1.23071,-2.56984,-3.32189,-2.75314,3.12402,-0.130515,
18,35.8746,19.2511,15.4421,26.5931,18.7659,6.27991,7.09309,1.48859,-4.04601,-5.78694,4.02147,1.18619,6.0488,8.78921,-0.689632,-3.16513,2.1123,3.80736,-0.122921,-2.84097,-7.63487,-10.7454,-16.8382,-27.1667,-27.6611,-11.5194,-3.17667,-13.7414,-12.5082,-10.1471,-12.1047,-0.38438,-0.609576,-5.80104,-16.5928,4.74053,
19,23.9822,13.8105,12.891,11.14,10.7002,13.2019,9.66248,0.986021,0.0973537,5.54569,2.20412,2.6615,-2.22822,0.871162,-10.8514,-14.1292,-17.2836,3.6564,17.5551,10.067,3.75736,-0.955987,7.61573,3.99141,0.804918,-3.23231,-3.74035,1.9629,3.26749,1.91996,8.16834,8.99323,5.15738,3.45437,7.1656,12.5029,
20,24.0595,17.1642,19.591,22.4803,13.5219,17.2412,15.3392,18.9703,20.4341,16.7985,23.7633,17.3685,9.47868,-0.0212095,-2.33605,1.71873,2.69619,4.5307,6.42863,4.69178,0.208292,-2.24316,7.34826,9.15583,4.50147,3.4981,-2.02151,-3.58834,0.939335,-0.601274,0.952378,-2.98649,-3.53975,-2.05311,1.38559,11.0919,
21,59.5043,32.4576,7.94986,-8.09125,-13.9184,-22.5461,-40.2274,-25.3825,-14.8048,-18.8532,-21.9792,-24.6958,-30.7926,-23.999,-6.39548,-4.88298,2.2424,4.64963,-2.58364,3.96323,21.5962,45.7182,48.5519,13.4218,-2.71335,-31.7218,-22.8359,-3.80044,15.9528,28.1154,30.8078,32.6838,26.3896,20.503,26.5074,31.7386,
22,80.3186,49.3125,54.1699,50.7493,45.0786,16.3821,-15.7162,-22.532,-26.4964,-24.9932,-16.3357,-0.442695,-7.08839,-28.6137,-18.3382,-34.083,-18.8388,-8.89805,-14.5018,-14.7299,-29.2809,-47.7308,-68.8505,-66.4126,-51.0338,-22.7628,-13.9727,-20.7605,-23.5204,3.51096,8.84315,14.7356,17.8869,24.1777,49.1088,66.6309,
23,34.282,7.8102,-1.77844,-8.78948,4.05299,2.96574,3.43509,4.39299,3.12003,5.32743,6.24017,-0.480746,0.251659,4.48912,1.33709,-4.53976,-18.4488,-20.85,-12.279,-7.57175,1.74368,-0.536865,-15.3477,-14,-11.107,-6.06553,6.95312,11.5025,7.6895,3.21256,6.62136,-3.45573,-9.88887,-8.386,11.1968,6.69412,
24,37.5772,12.6979,11.7218,16.2943,0.287818,-7.78384,-11.7925,-14.8649,-1.23178,7.79663,13.3787,3.98722,-2.53534,-12.5555,-26.3716,-19.4184,1.76189,11.2578,13.2768,14.7201,9.50327,5.71461,4.35689,-0.539255,4.49436,11.4821,-1.12481,-5.44032,-9.95586,-7.6029,1.82712,-1.44233,1.39576,7.52317,17.5083,13.5282,
