Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,24.9463,0.758463,-1.01001,-0.815704,0.33182,-1.60318,-0.308929,-0.599779,-2.04107,-2.4841,-0.11933,-0.117552,-0.903129,-1.44782,-1.70334,0.849536,0.592537,-1.73933,0.459284,-1.58508,1.03062,-1.54306,-1.99626,-1.91806,-1.19182,1.5374,0.220713,-0.23954,2.4536,-1.46215,0.813608,-0.17232,1.96802,0.984188,-2.05215,1.53778,
1,24.5593,1.8274,-0.778308,2.30194,-0.308863,-1.73392,-0.0574305,3.288,-0.111292,1.69936,-1.11858,-0.696487,-2.11696,-2.00685,-1.78603,0.172921,0.276364,-1.11764,-2.73239,-1.32786,-1.01032,1.3359,0.106436,-0.862417,-0.787023,0.405794,-1.13355,-1.00596,-0.924028,-3.89061,-1.6502,0.19359,0.549743,-0.0744839,-0.251086,-0.41544,
2,25.2468,-0.741812,1.51914,-1.01077,-0.328213,-2.26244,-2.19135,0.916272,-0.124356,-1.61013,0.211455,0.181958,0.845185,1.29466,-1.39069,-0.42048,-1.05728,-1.35992,1.41175,-1.66414,-1.58501,-1.59883,-1.28075,1.19897,0.423788,0.434728,-0.100822,-2.41875,3.44597,3.02032,-2.7359,-1.083,-0.329606,-0.244942,0.277114,3.10209,
3,24.8607,1.09853,-2.36296,-0.781843,1.55349,-1.10974,0.36977,-1.19392,-2.44953,-0.353805,-0.0367924,-0.96836,-2.15153,-0.355548,-3.84218,-0.282062,-0.154493,0.301856,-1.15582,-2.63772,0.319632,0.40695,-0.486875,-1.48769,-0.0754442,2.37383,-0.355132,0.573815,-2.45052,1.6174,1.03155,-0.198597,0.911439,-0.742421,0.369671,1.24568,
4,24.3004,-0.0432144,-0.210319,0.658925,-1.7542,-2.41636,2.22633,-1.8968,-1.47442,-1.54692,2.05982,1.64499,0.232035,0.391429,1.51667,-2.96726,-0.676456,-2.87194,-2.42741,-1.23303,-0.578362,-1.02892,0.539418,1.64804,-0.523869,2.02801,-1.30885,-1.74975,-0.229947,2.20147,-0.645152,-1.74177,-0.939391,1.39118,-0.530238,0.100971,
5,21.6154,2.73162,0.882358,1.63148,0.27358,-0.308615,0.743607,-1.13579,-1.9916,-0.349373,-0.110428,-0.440265,-0.435741,-0.687605,-0.231477,-0.480094,-0.376008,-1.11702,-2.03284,0.464966,-2.17861,0.257532,-0.872051,-0.191041,1.65136,0.257472,-1.67962,-2.45759,-0.470737,-1.37018,1.59278,-0.458521,-1.66285,1.44411,-1.71242,0.784027,
6,24.2275,0.647776,-0.593779,-0.172297,0.949284,-0.199628,-0.573476,-0.748175,-0.200125,-0.586262,-1.06231,-0.0577684,-1.47525,-2.50583,-2.1928,-0.228812,0.615993,0.417566,-0.899089,-0.555471,-0.275455,-1.48953,-4.12321,-0.355971,-0.0988204,0.874898,-0.586334,-0.729554,-0.402766,0.112417,0.722569,1.87964,-0.939697,0.100981,0.0928334,0.640027,
7,24.421,0.647902,1.92898,0.788461,-1.14087,0.722918,-0.511221,-3.16898,-0.679769,1.72485,-1.2446,1.15792,1.94132,-1.87958,-2.09028,4.53528,-1.78977,-1.787,-0.713677,0.607276,-1.20184,-1.56752,-1.38931,0.549726,3.39334,-0.375247,0.622507,-0.0444848,2.41491,-1.9056,-0.240527,-1.54202,-0.159839,1.19646,0.0201441,0.753982,
8,22.815,2.32612,4.43392,-0.852553,0.0368505,-0.0879386,-0.740068,0.4776,0.599175,-3.29122,0.0844917,0.214459,-1.32021,1.04308,0.414459,-3.89517,0.488857,0.518721,-1.25166,-1.85892,-1.82442,-3.09668,-1.2826,-1.77174,2.3694,1.11672,0.576494,-3.1499,0.344223,0.724767,0.194286,0.598468,-1.38572,-0.0991303,-0.0175171,1.99852,
9,25.0358,1.51832,2.30405,-1.35532,1.63208,-0.375555,-1.4332,0.000213785,1.6351,-0.33468,-0.55325,-0.0354784,-0.332421,1.70348,1.96715,0.681475,0.338249,-0.683143,0.316809,-2.7653,-2.91189,-1.09067,-0.584055,1.13068,-0.288233,1.27597,-1.81584,-0.330734,1.14618,-0.910881,-1.33299,-0.234144,0.222101,0.692519,-1.0807,-0.602124,
10,24.6883,-0.870739,-1.48325,0.672266,-0.838982,-0.835632,2.96054,-1.22866,0.531987,-0.506295,-2.11654,-1.54257,0.46599,-0.996305,-2.95292,-1.28901,-0.941364,-0.828115,-0.286704,1.01657,0.159132,2.076,2.68701,0.113946,-3.89003,-1.92381,2.62327,0.790396,-1.47203,-1.19474,-0.703787,-0.629224,0.77702,-0.762372,-0.0264898,0.443917,
11,23.0914,-0.635227,-1.34024,-3.43773,-1.7022,-0.855195,-0.353173,-0.957137,-0.730912,-1.71547,-0.64956,1.00318,2.14677,-2.0096,-2.29519,1.26115,-0.601256,-3.91004,0.999136,-1.96082,-0.844857,-0.897154,2.4332,-1.91539,0.646546,-1.04119,1.54848,-1.52875,3.21719,0.419227,-0.913801,-0.82167,-0.232412,0.86261,1.36234,-0.326594,
12,27.9132,2.88498,-0.0556982,-1.68536,-0.559395,0.93223,-0.538611,1.33092,-2.24317,1.45121,-0.385627,-1.86289,2.02695,-2.67479,-0.340078,-0.553917,-3.78357,1.12705,1.48627,0.718255,0.139078,-2.20809,-2.24096,-2.82603,0.0740424,1.17602,3.07172,-0.818636,-0.343918,-1.57115,0.75669,0.39739,0.544047,0.953201,-0.619874,0.31355,
13,26.2701,1.46073,-0.511121,2.24785,-2.02841,-0.101044,-2.80284,0.579156,-3.12086,-0.653961,0.087928,-0.381041,-0.0180978,-1.12325,0.86834,0.894765,-0.396677,-0.811846,-0.299351,-2.71707,0.506415,1.29204,2.70808,1.60186,2.45458,-3.14189,0.972406,-6.03005,-1.74361,-0.222716,-2.70489,0.27421,-0.760128,-1.12051,-1.62049,-0.291832,
14,26.5246,1.50122,1.59331,-2.40619,-0.461073,-1.47879,-1.05901,-1.27993,-1.72248,0.787668,-0.738851,-0.604628,1.98375,1.18522,0.200432,-0.778931,-0.705429,-1.65536,-1.27453,-0.48802,-0.495626,-2.6028,-0.0469224,-2.44337,-1.18105,2.75195,2.1336,-0.0531856,-1.46558,-0.921864,-0.103727,-1.15202,-1.57112,-1.57263,1.72291,1.16781,
15,24.61,-0.66853,-0.969531,-1.10978,-1.49445,1.01816,-0.911904,-0.768907,-0.229003,-0.278897,0.535475,0.487148,-0.115249,-1.38821,-3.26249,-0.770711,0.68381,-1.49375,1.10794,0.122936,-1.07059,-0.26264,-1.50358,-1.80704,-1.03915,-0.28719,1.30145,-2.7089,0.685611,0.550156,-0.439125,-3.1063,-1.68927,0.164448,-1.90538,1.48397,
