Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,31.4036,2.30082,-0.150321,0.264024,-0.634444,-2.48071,0.182696,0.162061,-0.682162,0.137726,-1.09354,0.851196,-2.34962,1.67434,1.07213,-1.8922,2.06027,2.1929,0.593746,0.875734,0.243873,-1.39451,1.73638,-1.74001,1.3111,-0.183591,-0.582809,1.17335,-0.371046,-1.87921,-0.239407,1.11052,1.10509,-0.793996,-2.02575,1.02598,-0.0430716,1.87767,-0.882183,2.09933,
1,30.5828,0.427083,0.52654,-0.350987,-0.213863,-0.86781,-1.38539,0.137441,0.398922,-0.965646,-0.389319,0.730624,0.905305,1.90274,-0.0177637,-1.52551,0.464472,-0.141878,0.170006,0.485484,-0.514125,0.114651,-0.241758,0.954945,0.260135,-1.3795,0.257611,1.39569,0.979479,-0.0119367,1.7425,0.103192,1.39971,-0.201089,-1.4398,-1.44266,-0.391313,1.84751,1.94493,1.26754,
2,28.4897,0.562512,1.78289,0.335666,-0.673498,0.788286,-0.195778,0.921313,-1.40312,0.34529,-0.306496,0.536415,-1.61943,-0.320182,2.19923,-0.14121,2.75064,0.714074,0.372042,0.928818,1.77518,0.575675,-0.259934,0.132488,-0.849757,-0.598508,-0.118916,-0.0878605,-0.47712,1.59852,-0.304193,1.89689,-1.99005,-0.224562,1.20811,-0.0227993,0.395248,-1.43313,-1.64031,-0.645227,
3,28.8495,1.80345,3.34431,1.31134,1.75037,-1.68777,1.69111,1.56939,0.463742,0.0817812,-0.861385,0.34728,-0.358924,0.847216,-0.310582,-0.221118,-0.0022815,-0.391805,0.788393,-0.0751366,0.301515,-0.250303,-1.00472,0.822319,0.886133,0.111894,-1.68169,1.50018,1.00137,1.69742,1.11564,0.744496,-0.0772825,0.0274471,0.85399,1.37728,1.5537,-1.5569,0.357632,0.347008,
4,27.0743,1.09862,-1.37819,0.950616,0.899189,-1.3155,0.943902,-0.174021,0.635622,0.431865,-0.535414,1.73508,0.0101606,-0.0542408,-0.648248,-1.94838,0.465354,-0.648831,-0.906093,1.46444,-1.0046,0.534388,0.320066,-0.44662,0.635728,0.0475099,-1.17332,0.399539,0.644924,1.50085,1.71412,-0.304496,-0.867257,-1.1573,-0.123799,0.508582,0.102145,-1.3419,1.32926,1.09748,
5,27.9738,1.07774,1.4342,2.22672,0.84554,-0.476884,0.960186,-0.356976,-0.491933,-0.180246,-2.34714,-1.39455,-1.36403,0.882832,-0.663951,-0.393391,0.329418,-0.027068,1.57575,0.602713,-0.900068,-0.324446,2.51464,1.29453,-0.0606139,1.63887,-1.10968,1.4852,-0.370682,0.384875,-0.139819,0.550979,-0.904883,-0.966233,1.44164,1.21454,0.35542,1.56485,-0.026346,1.08187,
6,30.3304,1.82577,1.24441,0.832935,-1.40629,-2.24151,0.114295,-0.597672,0.711968,2.15075,0.555397,1.66446,2.11432,1.73385,-0.528087,-0.551227,-0.608149,-1.94061,-0.385616,0.0436819,-0.382075,-1.15021,1.62502,-1.52533,-0.738596,-0.290847,0.121192,-1.09972,0.728797,1.33171,-0.261872,0.262242,1.47606,-0.512338,0.787759,-0.850728,1.59165,0.430155,0.735833,0.868945,
7,27.9664,0.967231,0.685938,-1.811,0.50965,1.30534,-0.507219,0.243557,1.57873,0.0593659,-1.23151,-0.362499,2.26518,0.860036,0.428789,0.13745,0.0105574,-1.74366,-0.257297,-0.485243,-1.48151,0.239619,1.04038,1.00156,0.447273,-0.0808247,-0.0475601,-1.18157,-1.40213,-0.920721,-0.623452,-0.848676,-0.564378,-0.772125,0.233897,0.575816,-1.34255,1.32461,-0.0284893,1.65226,
8,29.0868,0.82873,1.35911,-0.454892,0.316204,-1.30709,0.129154,-1.91862,0.377381,-1.00674,-2.60755,1.16631,1.5906,1.69158,-0.506515,0.77063,0.561622,0.325772,-1.07452,-1.39053,1.18266,-0.189443,0.839721,-0.829387,-2.07818,-0.168132,-0.971385,1.11031,0.254164,-0.312681,-0.506708,-1.17327,-0.541476,0.126294,-0.72477,-0.177576,0.939031,1.97523,-0.454768,0.026849,
9,28.7183,0.589121,0.0469304,-0.307565,-1.27404,-0.362824,1.77471,0.186074,-0.658715,1.10999,0.262193,0.321295,-1.03406,-1.65318,1.39494,-1.28177,-0.0031191,0.0163442,1.91927,-1.00743,0.336191,-0.185012,-0.704008,0.3191,-1.61823,1.00439,0.170249,-0.624437,-0.0340544,0.310972,-0.0167023,-1.0501,-0.308048,0.84265,0.172503,1.23503,-0.384134,0.613794,0.925858,0.511449,
