Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,46.9705,-1.1575,-5.0721,-4.77312,-1.47926,3.75224,-0.824667,-1.14738,1.86422,0.293482,0.447064,-3.26948,2.64215,-4.95882,-0.239533,2.57278,-2.61681,-1.43434,1.46875,0.0171916,-6.71022,-1.69554,-5.33133,-2.96549,-2.33079,-6.25752,1.66651,0.95307,-0.852607,0.378417,2.09925,-1.63262,-2.96223,-5.54063,-1.36118,1.96001,-3.07345,3.46641,1.11337,-3.31675,
1,44.9229,1.60018,-1.05614,-3.03576,-2.14004,-2.16091,2.05295,1.31383,-0.220477,-4.23088,2.22777,-2.3555,-3.30938,-0.639356,-1.77993,3.71311,-1.81038,1.05307,0.871554,0.592425,1.06606,0.0910287,-1.71833,-0.519894,0.135056,-1.35898,0.269491,0.121381,-2.11235,-2.10302,-0.815746,2.85041,-1.95945,1.42232,-4.10103,0.929129,-4.19855,0.383925,2.1217,3.5936,
2,43.3357,3.45089,-2.51774,-4.99282,-0.30643,0.617545,2.32238,1.33561,-0.437909,-0.299997,0.0306213,0.629184,1.29832,0.984182,4.05137,0.162338,1.81812,1.96267,-2.99237,-0.0736403,-5.32972,-2.02112,4.00615,-2.13811,4.64273,0.112481,3.14428,-3.40733,-4.82516,-1.14111,0.701551,-3.3626,-0.382763,1.64588,0.674068,-1.66791,1.03192,-5.08589,0.0602264,3.09023,
3,45.9037,6.57098,3.57567,1.50021,-5.4326,0.80611,3.79296,-1.54022,2.2872,-1.50289,-3.32891,1.61821,3.38774,-2.59662,4.07277,1.44713,-5.43356,-2.21266,-3.64851,6.18446,3.13487,-2.0287,-2.30209,-1.62518,-0.671703,-2.0524,-0.934862,-1.92071,-3.96831,-1.21079,-5.24686,-11.133,-5.78267,-3.72433,0.746033,-1.82733,-1.88794,-0.379873,-0.740839,2.79626,
4,42.6331,6.04572,-1.5469,0.350488,-4.58581,1.58037,2.60428,-3.33821,-1.72954,3.62802,1.62247,-1.42955,3.36853,3.07864,-3.34589,1.65919,0.989938,-1.11557,4.44464,1.2702,3.34738,-3.60049,-1.38846,-4.33143,-2.55024,-4.66203,-2.19689,0.259311,-1.99439,-0.112427,-0.259968,-2.45444,-5.51258,-3.81206,-3.0959,-1.68777,1.24927,-1.1809,2.68995,6.92876,
5,50.6141,6.36077,-2.13737,-6.57466,-4.24931,-1.53966,-4.24376,-3.97188,-5.98253,-1.6846,-3.74087,-1.07306,2.58766,-2.44026,-6.73174,0.482079,-1.19246,-0.969383,3.54973,-2.10126,-0.72717,2.6342,-1.04569,3.75837,3.64287,0.103124,-4.21067,-0.851786,-0.827609,-2.02328,-3.33461,-5.10314,-1.20192,-4.34622,-2.17273,-2.17404,2.56049,3.0218,2.15392,2.69803,
6,40.7415,2.90757,1.14167,-0.507181,-0.517781,-0.322776,-1.26874,-1.01109,6.88264,0.620845,-1.81671,0.308552,1.16699,0.0377941,-1.87491,0.493757,-4.075,-2.19461,-0.657789,-2.39544,2.58533,1.05187,-2.54358,-2.44034,-1.10625,-2.63192,2.07815,1.25503,-1.73712,3.34361,-2.20045,2.76855,-0.925412,-0.0124033,1.26879,0.713741,-0.994318,-2.5808,-0.791673,-1.17148,
7,41.2034,-0.260925,-0.812284,-2.26949,3.3684,0.683885,4.76757,1.11095,1.97968,-0.417537,1.1526,0.598988,2.51299,0.881989,-0.429079,0.33973,-1.3105,0.696472,-5.89487,0.391417,-0.797859,0.804822,0.727412,-2.78277,-1.28429,-0.731992,3.87585,0.107412,0.455228,-4.70419,-2.41968,-0.947574,-0.467582,-1.70573,-2.25339,2.95334,3.72569,-2.00245,-1.04891,0.251965,
8,48.6262,3.52542,-4.00907,1.22973,-2.14264,-0.203749,-1.5034,-0.0570177,-4.99519,3.22207,-1.50381,-3.56982,-0.71417,-3.60215,-4.54437,-2.74931,3.36688,0.743763,0.363309,-3.23701,-1.29971,-2.09147,0.269592,0.695697,-2.87537,-2.16854,-4.80874,0.564383,-0.369724,2.57059,-1.81192,-3.17859,-2.76669,-0.400598,0.918284,-2.75013,-0.928823,-0.606552,3.97979,6.63085,
9,46.7061,3.97474,0.695321,0.454097,0.0986706,1.04088,-3.14144,-0.741697,2.54245,-4.20426,-2.46667,-7.86069,-0.00613907,1.55801,-1.08856,-0.807039,-3.48927,1.89625,4.03409,-0.600157,-1.52539,-3.05071,4.24077,5.2994,1.1712,-0.74448,-0.392705,-4.49903,-3.67424,-0.687897,1.70601,-2.3229,0.433509,-2.57733,0.269053,-4.41856,0.788141,-2.56766,0.800265,3.23576,
