Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,18.48,13.6029,12.5483,11.757,11.6297,11.9573,12.3417,11.0169,10.2607,10.5666,11.0722,11.2451,12.195,12.5048,12.1481,11.5421,11.707,11.441,10.7382,10.5515,10.3156,10.7685,12.3116,14.0921,
1,8.08707,4.1699,2.77868,1.44638,1.23272,0.638645,0.0964766,-0.220265,0.118305,0.107979,0.130961,0.156768,0.126601,0.207305,0.257336,0.160023,0.100041,0.205193,0.776316,0.993927,1.10685,1.37382,2.64065,3.55402,
2,9.28319,6.19573,5.53028,4.85817,3.2731,2.76964,3.13805,2.63138,2.42346,1.98494,1.13558,1.06241,0.737174,-0.424854,-1.27117,-1.81718,-2.81195,-3.18592,-2.40021,-1.87397,-1.39617,-0.840288,0.439778,3.1288,
3,23.3099,15.712,11.6861,8.78082,7.15477,5.56643,5.02391,3.95044,1.56395,0.561798,0.377956,0.213764,0.475084,0.865253,2.86238,3.92264,4.96605,6.01545,6.77777,8.26031,9.34501,11.3202,13.6262,17.9253,
4,14.4256,8.96582,6.40478,4.69174,2.93102,2.10135,1.21715,0.682126,0.682652,0.558099,0.506638,0.652519,0.630012,0.930323,1.54956,1.71805,2.41357,2.42196,3.12792,3.03914,3.45678,4.14921,6.13663,8.81429,
5,17.3614,12.2021,9.82342,8.99991,5.93464,4.20129,3.26634,4.0548,4.13111,4.76179,3.4935,2.47224,2.61593,2.86553,3.46338,3.82833,4.50083,5.43008,6.13423,6.76513,7.16052,8.83811,10.8245,12.6054,
6,28.8518,24.3828,21.8217,21.6811,21.6779,20.9601,19.3645,18.7195,18.4326,18.472,18.415,17.1783,16.5442,15.98,17.1877,17.6205,17.6009,18.8872,20.5833,21.6619,21.8852,22.3276,22.9332,24.2084,
7,11.3641,5.53601,3.20586,1.60337,0.391257,0.122316,0.302922,0.450111,0.657879,0.922776,1.38544,1.45283,0.552944,-0.435353,-1.34849,-1.25068,-2.42723,-2.56824,-2.61434,-2.19371,-1.38068,0.909086,4.03289,6.1296,
8,12.436,6.56989,3.32775,1.20427,-0.334878,-1.28971,-2.07424,-2.63849,-2.92956,-2.63968,-1.76931,-0.489825,0.282071,0.0645075,-0.124067,-0.243597,0.109451,1.10876,2.6602,3.8243,4.45602,5.16753,6.53769,8.52755,
9,10.953,3.84919,1.94317,0.787554,0.36282,-0.791085,-0.640261,-0.776329,-0.767171,-0.94913,-0.723776,0.123069,1.30338,1.97824,0.952013,0.449858,0.207708,0.389301,-0.120762,0.521564,1.2728,2.43691,3.97797,5.97099,
10,21.167,17.1259,15.1999,12.5799,9.62065,7.3092,6.19764,5.04644,3.72572,2.85006,3.53054,4.86106,5.85443,6.49707,5.85126,4.98874,4.23086,3.18066,1.02241,2.05123,5.36772,8.36106,11.1584,14.8613,
11,21.6444,15.2042,10.4847,7.04595,4.76576,3.26047,2.67314,1.12292,0.501277,1.32531,0.626088,0.683429,1.02065,0.962289,1.65017,4.10058,6.08879,7.84355,9.89033,10.8425,12.7233,14.5897,16.645,17.4684,
12,10.7964,5.10847,3.29972,1.65844,1.62594,1.92818,1.51681,2.40456,3.11568,3.79562,3.80579,3.70691,3.70328,3.70116,3.28677,1.96067,1.79215,1.91891,2.65845,3.4324,3.22876,3.24383,4.43949,6.1786,
13,17.906,11.2119,7.34657,4.62571,2.88613,1.61273,0.717247,1.86095,2.62684,2.40778,0.959006,0.857134,0.474699,0.0104394,0.184707,1.20985,3.57667,5.94482,7.35456,7.99877,7.62098,7.48472,9.16094,12.1344,
14,16.9482,13.1196,11.151,9.91014,8.97263,6.19625,2.53604,0.58607,-0.572856,-1.41068,-1.05173,-0.635696,0.0573801,0.187196,0.0595981,-0.255797,-0.408219,1.57389,3.18919,4.82534,7.27328,7.89737,8.95233,11.3815,
15,24.2505,18.0851,15.9426,15.3904,13.5649,12.0861,12.2543,11.9943,10.3675,7.38837,4.24797,2.8837,2.69466,4.73612,7.85501,10.9322,13.1,14.1064,14.3151,14.3142,14.0817,15.0231,16.537,18.5728,
