Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,
0,18.3997,0.431542,-0.160548,-0.447826,-0.573607,-0.58829,-0.769862,-0.477883,-0.350665,-0.490296,-0.445197,-0.125028,-0.221837,-0.373217,-0.519026,-0.626902,-0.177801,-0.651459,-0.91176,-0.359606,-0.483568,-0.274678,-0.0439318,0.919037,
1,18.3456,0.384862,-0.332389,-0.605839,-0.408173,-0.109466,-0.197829,-0.628335,-0.356117,-0.66905,-0.329418,-0.882329,-0.56489,0.057269,-0.76141,-0.129939,-0.099119,-0.523212,-0.0715345,-0.275609,-0.695057,-0.99066,-0.32337,0.627874,
2,18.2978,0.27545,-0.568546,-0.706809,-0.511828,-0.314051,-0.298057,-0.434046,-0.321514,-0.675385,-0.30331,-0.75517,-0.354679,-0.0748746,-0.249436,-0.00173957,-0.347747,-0.544154,-0.492584,-0.758656,-0.832073,-0.365227,-0.125162,0.827318,
3,18.4793,0.694429,0.0880763,-0.399041,-0.647614,-0.77726,-0.601534,-0.469653,-0.482424,-0.732992,-0.53579,-0.222791,-0.165794,-0.443348,-1.00454,-0.482599,-0.231114,-0.149584,-0.331384,-0.33682,-0.723334,-0.076059,0.159914,0.58283,
4,18.7627,0.643256,0.00596309,-0.595631,-0.512438,-0.677246,-0.435964,-0.448786,-0.194163,-0.107555,-0.255689,0.00185442,-0.271634,-0.156919,-0.0657689,-0.504687,-0.739038,-0.402106,-0.713594,-0.465223,-0.162058,0.376754,-0.356045,0.535046,
5,18.7454,0.632082,-0.556186,-0.0784461,-0.480705,-0.369906,-1.00097,-0.306579,0.138866,-0.861156,-0.591608,-0.318653,-0.882886,-0.461845,-0.088699,-0.665286,-0.11204,-0.908657,-0.655296,-0.783546,-0.649739,0.209847,-0.357707,0.998576,
6,17.8748,0.665439,-0.422344,-0.0121227,-0.545069,-0.809168,-0.340392,-0.119715,-0.834062,-0.450933,-0.373389,-0.288555,-0.210809,-0.383158,0.0929837,-0.696892,-0.547538,-0.740127,-0.198341,-0.359683,-0.276535,-0.743219,-0.0584569,1.31358,
7,18.2079,0.859255,-0.0940154,-0.321412,-0.331478,-0.392975,-0.581703,-0.479426,-0.596111,-0.750112,-0.378993,-0.32936,-0.341442,-0.604572,-0.305692,-0.224585,-0.445065,-0.190262,-0.15895,-0.158804,-0.871674,-0.732078,-0.750718,0.570608,
8,18.9971,0.65122,-0.310085,-0.205388,-0.431743,-0.416756,-0.312782,-0.301842,-0.0952451,-0.46388,-0.416686,-0.805212,-0.58788,-0.286563,0.145244,-0.220335,-0.517425,-0.619476,-0.147388,-0.010096,-0.421043,-0.680768,-0.10285,0.483438,
9,18.059,0.763756,-0.519998,-0.410348,-0.218247,-0.332784,-0.684377,-1.22613,0.0175007,0.14888,-0.54999,-0.199054,-0.136498,-0.104575,-0.177333,-0.194403,-0.169922,-0.34677,-0.611112,-0.707788,-0.534874,-0.756668,-0.184668,0.46277,
10,18.4548,0.443658,-0.450488,-0.320817,-0.163498,-0.26464,-0.318064,-0.491251,-0.510524,-0.580138,-0.140283,-0.449631,-0.478767,-0.801266,-0.280056,-0.72162,-0.65815,-0.354746,-0.226323,-0.36056,-0.269026,-0.488586,-0.0726368,0.520527,
11,18.7228,0.530993,-0.232113,-0.292939,-0.583779,-0.673364,-0.253945,-0.303595,-0.28459,-0.200846,-0.738883,-1.09238,-0.354282,-0.570587,-0.42292,-0.39733,-0.214503,-0.308472,-0.172416,0.0217723,0.250679,-0.933366,-0.142832,0.142723,
12,18.2468,0.551815,-0.107758,-0.438981,-0.474659,-0.397242,-0.48452,-0.524495,-0.42072,-0.0910823,-0.591198,-0.604538,-0.14283,-0.34444,-0.506324,-0.302642,-0.859033,-0.349627,-0.224632,-0.349502,-0.888977,-0.0666041,0.166713,0.769511,
13,19.1958,0.508227,-0.358429,-0.337042,-0.595973,-0.29455,-0.135105,-0.0302691,-0.371328,-0.432276,-0.875878,-0.47222,-0.0653909,-0.0993936,-0.589238,-0.819317,-0.139298,-0.23395,-0.64265,-0.554343,-0.56143,-0.042114,-0.318044,0.70306,
14,18.6231,0.749552,-0.65501,-0.174064,-0.554419,-0.47829,-0.464662,-0.120361,0.0976968,-0.0754527,-0.665404,-0.240609,-0.965704,-0.846319,-0.619492,-0.7153,-0.129214,-0.790656,-0.189175,-0.18723,-0.921358,-0.854626,-0.122295,0.694508,
15,18.8507,0.378498,-0.126011,-0.4383,-0.251722,-0.414171,-0.405352,-0.28203,0.183134,-0.690778,-0.419408,-1.09453,-0.62113,-0.687546,-0.634454,-0.386998,-0.328519,-0.175795,0.127037,-0.651765,-0.590255,-0.811008,-0.350232,0.564942,
16,19.0194,0.536589,-0.57796,-0.100386,-0.526797,-0.510538,-0.699949,-0.369882,-0.655698,-1.13162,-0.494849,-0.834669,-0.710847,-0.438524,-0.677852,-0.800884,-0.162889,0.042455,-0.115263,-0.33131,-0.594938,-0.168566,-0.162764,0.747267,
17,18.1788,0.444358,-0.786243,-0.659942,-0.102437,-0.506339,-0.493779,-0.143119,-0.307709,-0.48902,-0.83492,-0.188943,-0.37584,-0.166577,-0.247104,-0.432457,-0.885139,-0.42416,-0.086773,-0.725949,-0.805896,-0.405058,-0.757576,0.733232,
18,18.054,0.372076,0.0114099,-0.730458,-0.267372,-0.18772,-0.711135,-0.71398,-0.742564,-0.586673,0.293542,0.199993,-0.461658,-0.293127,-0.0408819,-0.515017,-0.503409,-0.0403202,-0.625901,-0.406326,-0.133281,-0.401068,-0.270889,0.533669,
19,19.219,0.785672,0.0783541,-0.705868,-0.425924,-0.49179,-0.604043,-0.264196,-0.382074,-0.154461,-0.241835,-0.387499,-0.640584,-0.526352,-0.28493,-0.560658,-0.5821,-0.213315,-0.689466,-0.744943,0.0279626,-0.566359,-0.233065,0.551514,
20,18.9055,0.771016,-0.425409,0.1748,-0.305197,-0.234295,-0.125157,-0.702904,-0.636717,0.132884,-0.601733,-0.702464,-0.45874,-0.112794,-0.520645,-0.564767,-0.469985,-0.401054,-0.279978,-0.0518266,-0.383382,-0.255476,-0.0247372,0.339037,
21,18.6391,0.999888,-0.370966,0.0128331,-0.0467861,-0.465898,-0.225246,0.477078,-0.467876,-0.672275,-0.607861,-0.677286,-0.486681,-0.16059,-0.832858,-0.106147,-0.660176,-0.273374,-0.219383,0.136953,-0.0327841,0.0430586,-0.260493,0.409427,
22,18.6223,0.455602,-0.488363,-0.220404,-0.75903,-0.763108,-0.663589,-0.222419,-0.287547,0.000491627,-0.33319,-0.258003,-0.544632,-0.301864,-0.258493,-0.517076,-0.712536,-0.41681,-0.740634,-0.0554144,-0.469742,-1.04936,-0.386811,0.906495,
