Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,25.4772,2.78147,1.11919,0.937189,0.243993,0.0510609,-0.0129373,-0.229682,-0.146266,0.0937566,-0.0277127,-0.370659,-0.192188,-0.0997888,-0.0764386,-0.377291,-0.270658,0.286953,-0.268348,-0.0111445,0.216301,-0.00753399,-0.109222,0.0978793,0.298092,0.248497,-0.0465552,-0.0637782,0.126385,0.0713463,0.167479,0.146558,0.786645,1.14282,1.80925,3.03121,
1,25.0737,3.16961,1.22394,0.468599,0.0996398,-0.00510955,0.0587939,0.142424,0.184772,-0.0361328,0.00635363,0.294135,0.125481,0.0650743,-0.0856221,0.197087,-0.0159805,0.367115,-0.212273,-0.704681,-0.529186,-0.206801,-0.225731,0.135731,-0.260662,-0.392546,-0.013882,0.4147,-0.182664,-0.0295832,-0.10856,0.344239,0.428181,0.694672,1.29429,3.37933,
2,24.3338,2.31767,1.06335,0.269044,-0.152395,-0.0519184,-0.413389,0.234375,0.465033,0.149355,0.0300028,-0.413829,-0.0631158,0.266125,-0.0187437,-0.16235,0.374928,-0.416589,-0.0233921,0.00107297,0.148778,0.0581615,0.528966,0.418132,0.437388,0.235046,-0.0180617,-0.324709,-0.181952,-0.0886436,-0.252664,-0.0138431,0.235628,0.569026,0.800556,2.28753,
3,25.6408,2.64795,1.05306,1.09579,0.448898,0.768149,-0.123238,0.0421731,0.136404,-0.214659,-0.0592404,0.159974,0.498152,0.198508,0.0832391,0.0594394,0.224366,0.288045,0.138531,-0.029989,-0.087401,-0.0505889,-0.0509645,-0.286572,-0.059535,0.0306638,-0.159642,-0.0216017,0.418869,-0.132984,0.515888,0.168411,0.246576,0.422591,1.36406,2.98986,
4,25.243,2.82009,0.919847,0.693045,0.231463,-0.212341,0.106375,0.0968332,-0.284762,-0.328834,0.0110561,0.0701032,0.230006,0.545816,-0.0387037,0.26468,-0.17426,-0.518177,-0.400994,-0.23406,0.0353077,-0.25607,-0.085825,-0.0580734,-0.0805135,0.0127255,0.0866769,0.241139,-0.10329,-0.388906,0.14061,0.203033,0.323682,0.843063,1.44813,3.06574,
5,25.4766,3.01335,1.26658,0.3185,0.645364,0.416178,0.686264,0.119122,0.417314,-0.16646,-0.293175,-0.122596,-0.371411,-0.0191821,0.179836,0.171311,0.207603,0.0680602,0.254727,0.460974,-0.292805,-0.00499353,-0.205294,-0.391103,-0.166125,-0.304658,-0.250396,-0.446728,-0.353047,0.257611,0.17449,-0.217303,0.237916,0.835304,1.20395,2.88321,
6,25.2264,2.67789,1.31212,0.708057,0.373118,0.272488,0.269619,-0.164447,-0.126663,-0.207192,-0.0252532,0.132433,0.14975,0.419859,0.00322125,0.26829,0.366497,-0.102366,-0.311758,-0.520212,-0.08993,0.0861891,0.249943,0.0151222,0.162787,0.194865,-0.213185,0.113243,-0.320281,0.122823,0.312106,0.0206624,0.550755,0.731673,1.5232,2.61206,
7,25.1035,2.32143,1.08685,0.6994,0.174712,-0.113155,-0.490252,-0.317264,-0.623057,0.264551,0.166259,0.263608,0.236518,0.183986,-0.156167,-0.259886,-0.272192,0.457632,-0.00438918,-0.218324,-0.214319,0.0218119,-0.10914,-0.314823,0.0492059,0.213518,0.10513,0.0218128,-0.0829178,-0.283825,0.0901941,0.220653,0.536843,0.702389,0.833922,2.41337,
8,26.2818,4.0924,2.03941,1.27447,0.832913,0.577207,0.411739,0.292708,0.219208,0.328808,0.267828,0.638669,0.380325,0.0118495,0.345007,-0.132684,0.27353,0.128742,-0.388776,-0.182144,0.252799,-0.33801,0.0795798,-0.0952852,-0.103834,0.049377,-0.029523,0.177719,0.142076,0.194799,0.831727,1.21499,1.20523,1.47035,2.27393,3.76771,
9,25.0686,2.89373,1.36339,0.713272,0.455476,0.0587717,0.0343368,0.158049,0.0429299,0.0776511,-0.113286,0.207546,0.200964,0.0938278,0.211335,0.0720473,-0.19334,-0.144881,-0.138332,-0.0754877,-0.108147,-0.146187,-0.109913,0.133798,0.374207,0.238279,0.101725,0.15027,0.0257374,-0.0816824,0.38078,0.280596,0.125698,0.615427,0.580406,2.64516,
10,24.4683,2.7566,0.918134,0.00325359,0.187673,0.157064,-0.491453,0.236204,0.0109119,0.279435,0.140078,0.0545571,0.222458,-0.267448,-0.143899,0.192815,-0.103172,0.032142,0.176903,0.252497,0.429923,0.0115455,-0.172396,0.237486,-0.022038,0.203547,0.160245,0.375013,0.392738,0.452748,0.364434,0.294355,0.479921,0.381696,1.18363,2.17981,
11,25.8584,3.53716,1.6872,0.856543,0.732406,0.472183,0.236777,0.429623,0.419007,-1.92979e-05,-0.0375594,-0.924997,-0.719121,0.0253381,0.21198,-0.237092,0.0847116,0.397257,0.139873,0.311986,-0.129088,0.5459,0.276299,0.255728,-0.0591859,0.36375,0.245942,0.0160303,0.415516,0.085169,0.296964,0.714597,0.765021,0.634019,1.4264,3.05682,
12,25.1419,2.44846,0.941521,0.99458,0.743811,0.243855,0.404381,0.024262,-0.280416,-0.389166,-0.224245,0.132656,-0.164805,0.011585,0.281929,-0.320139,0.246935,-0.31538,-0.251868,0.23835,0.0318647,0.0679224,-0.0149311,0.173545,0.0886545,-0.0415901,-0.0468604,0.221871,-0.00630627,0.277969,-0.03962,-0.019649,0.29166,0.467804,0.991258,2.52948,
13,25.8563,3.32784,1.46471,0.872407,0.171134,0.319422,-0.0231764,0.273709,0.0413051,-0.11066,-0.290011,0.238036,-0.261101,-0.552294,0.398672,0.368092,0.380545,0.0379891,-0.0219516,0.027585,0.190265,-0.436807,-0.220744,0.0227042,0.332161,0.430666,0.0606258,0.128311,0.480198,0.774505,0.271016,0.667982,0.975157,0.947739,1.61108,3.51218,
14,25.8985,3.35817,1.74029,0.899124,0.795962,-0.138863,0.210996,0.126901,-0.0774651,-0.030438,-0.295403,-0.0698376,-0.0810019,0.581498,0.248223,0.12659,-0.368216,-0.264239,-0.133078,-0.599702,-0.143407,0.166823,0.482048,-0.0117889,0.00279662,-0.00748558,-0.0926546,0.363792,0.139319,0.319456,0.4038,0.717776,0.584569,0.833112,2.06359,3.16411,
15,24.4737,3.11858,1.06229,0.447919,0.108997,-0.151967,-0.135982,0.0664238,0.186656,-0.00560515,0.0658634,-0.376092,0.0900306,-0.340049,0.180769,0.149201,0.208107,-0.0859471,0.147385,0.225078,-0.240568,-0.0750483,0.180569,0.210554,-0.227645,-0.27241,-0.365684,0.041614,0.402526,-0.0378604,0.0959481,0.574521,0.210727,0.731025,1.07375,2.59873,
16,24.9256,2.71846,1.12269,0.432586,-0.102971,0.532344,0.306879,0.0651515,-0.0202354,-0.386205,-0.050209,0.174733,-0.28187,0.208743,0.119779,-0.0862582,0.343863,-0.0332706,0.400868,0.337645,0.275916,0.00743493,0.344694,0.152286,0.18769,0.177675,-0.506251,-0.306,-0.42296,-0.224215,-0.18517,-0.424315,0.427773,0.501148,1.03319,2.88564,
17,25.6721,3.61439,1.49864,1.17536,0.293481,0.227848,0.589499,0.463724,-0.263361,0.399379,-0.0995886,0.0889138,-0.505434,0.0636435,0.131134,0.30913,0.240918,0.542785,0.288522,0.403816,0.907053,0.483508,0.528216,0.318767,0.449398,0.588964,0.242187,0.346588,0.25062,0.39187,0.863372,0.926246,0.66048,1.05118,1.49104,2.90484,
18,24.2439,1.95853,0.988495,0.432121,0.212019,-0.123753,-0.26735,-0.0646489,0.0515172,-0.317478,-0.256325,-0.288907,-0.0702404,0.0469911,0.117164,-0.107394,-0.272893,-0.429306,-0.0220334,-0.31987,0.345331,-0.270936,-0.173308,0.0565539,-0.176013,-0.0726749,0.0881867,-0.191538,0.218988,-0.0786816,0.485683,0.670091,0.53036,0.740923,0.701727,2.11261,
19,25.7467,3.01794,1.52017,0.807938,0.274115,0.137547,0.221104,0.0748555,-0.218155,-0.507554,0.0622319,-0.243444,-0.0975816,-0.324063,-0.49225,-0.260629,-0.355721,-0.417101,0.570725,0.293918,-0.431268,0.00206233,-0.132041,-0.0809338,0.133408,0.1604,-0.204019,0.360697,0.489025,0.237917,0.541653,0.34889,0.788391,0.839835,1.6292,3.13492,
20,25.3518,3.21046,1.58285,0.698115,0.697799,0.320008,0.312055,0.184827,0.230442,-0.21939,-0.452372,-0.146958,-0.199921,0.270158,0.417244,0.423454,0.430179,0.0207415,0.441617,0.195341,0.375111,0.498255,0.125866,-0.0370924,-0.452748,-0.269579,0.250235,0.15924,0.286268,0.0446078,0.262915,0.374512,0.606114,0.762343,1.41239,2.50736,
21,24.9028,2.59532,1.15958,1.10996,0.313498,0.114786,0.202348,0.618701,0.246911,-0.132551,0.00107263,-0.319622,-0.603978,-0.540412,0.136365,-0.286264,-0.250264,0.181056,-0.124318,-0.0340028,0.30636,-0.105587,0.0742914,-0.129784,-0.130937,-0.247828,-0.0556036,-0.363396,0.285024,-0.355503,-0.149917,-0.0401874,0.233136,0.441252,1.25121,3.10138,
22,25.8815,3.34508,1.60817,0.911997,0.589518,0.322176,-0.0523951,0.567184,0.365952,0.270213,0.191312,-0.171268,0.601518,0.4555,0.160626,0.240822,0.325482,-0.298613,0.670359,0.165638,-0.0978269,0.282242,0.0916452,0.446193,-0.14008,-0.139873,-0.200182,-0.0248091,0.217065,0.157933,-0.10801,0.0930259,0.105164,0.889362,1.1578,3.61649,
23,24.6665,2.52655,1.521,0.101652,0.10207,-0.0204488,0.183042,0.253255,0.117736,0.162534,0.531747,0.464047,0.35584,0.125453,-0.0877786,-0.362113,-0.111401,-0.0877968,-0.0944713,0.242409,-0.24352,-0.24139,0.0580078,-0.0243036,-0.315116,0.320723,0.299634,0.162101,-0.00391271,0.151315,0.447275,0.217267,0.732835,0.758292,0.811245,2.80513,
