Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,
0,24.751,0.740133,-0.0100977,0.290601,-0.738736,-0.728624,-1.22716,-1.05841,-0.913659,0.194169,-0.588162,-0.0166109,-0.0458383,0.168546,-0.415497,-0.854992,-1.21809,-0.764099,-0.0222129,-0.281757,-0.482636,-0.156444,-0.287519,0.0837769,-0.355647,-0.199414,0.143847,-0.522134,-0.176406,-0.180885,-0.538321,-0.578599,-1.00746,0.385276,-0.351436,1.38924,
1,25.4203,0.321003,-0.598433,-0.630553,-0.648697,-0.514661,0.00894981,-0.772396,0.00803588,-0.395918,-0.559544,-1.1202,-0.0115368,-0.393374,-0.0593076,-0.369789,-0.604381,0.273288,0.237212,-0.130082,0.0563365,-0.386091,0.2487,-0.574673,0.182354,-0.0266689,0.240775,-0.654401,-0.266511,-0.240237,0.0914171,-0.546639,-0.825856,-0.446291,-0.477638,1.01597,
2,24.3028,0.237757,-0.866945,-0.54091,-0.662458,-0.160511,-0.438359,-0.496751,-1.00702,-0.10465,0.0693267,-0.0504076,-0.332434,-0.113357,-0.55436,-0.733735,-0.0248174,-0.238877,-0.0722173,0.115131,-0.183725,-0.353568,-0.0298726,-0.134821,-0.578554,-0.293673,-0.21171,-0.447227,-0.353236,-0.105665,-0.192175,-0.207436,-0.130864,-0.347115,-0.176434,0.901183,
3,24.7886,0.447607,-0.482966,-0.0285815,-0.103912,-0.0804473,-0.049688,-0.208243,-0.642889,-0.63312,-0.712583,-0.244205,-0.517084,-0.194885,-0.379182,-0.310527,-0.155317,-0.543661,-0.548551,-0.166479,-0.113285,-0.205034,-0.477429,0.106937,0.0281988,-0.0872696,-0.304087,-0.111462,-0.525914,-0.541273,-0.634309,-0.630511,-0.842112,-0.390762,0.0902411,0.487848,
4,24.6286,1.05983,-0.143951,0.10612,-0.175213,-0.498306,-0.0995636,-0.0366611,-0.114679,-0.501704,-0.130146,-0.493563,-0.756796,-0.5662,-0.0393508,-0.516213,-0.261631,-0.383643,-0.40713,-0.0474774,-0.554044,-0.181913,-0.482852,-0.458106,-0.557845,-0.444853,-0.155226,-0.00949019,-0.88741,0.222737,-1.08894,0.350366,0.0140058,-0.206471,-0.660561,0.576907,
5,24.8124,0.598633,-0.322889,-0.312304,-0.290809,-0.0299543,-0.7627,-0.305268,-0.144226,-0.084105,-0.536824,-0.0655966,-0.727895,-0.2665,0.185989,-0.525749,-0.0835009,-0.425878,-0.556066,-0.70016,-0.213518,-0.454401,-0.383444,-0.61368,-0.678674,-0.452479,-0.570171,0.504246,-0.443645,-0.400388,-0.368775,-0.836466,-0.672022,-0.325358,-0.211007,0.691845,
6,25.1162,0.881953,-0.0207696,-0.165773,-0.700051,-0.870215,-0.262895,-0.705896,-0.943298,-0.39872,-0.400589,-0.0692315,-0.285246,-0.358968,-0.747065,0.151562,-0.829098,-0.744558,-0.290264,0.364919,-0.189951,-0.409322,-0.675295,-0.239263,-0.344893,-0.0683129,-0.966702,-0.603194,-0.64519,-0.340784,-0.248,-0.482935,-0.305135,-0.475833,0.0703651,1.09122,
7,25.9686,0.887292,0.237391,0.0875594,-0.62517,-0.357919,-0.661512,-0.842386,-0.0124237,-0.660926,-1.02699,-0.328711,0.204966,0.242695,-0.722344,-0.0888021,-0.607947,-1.01031,-0.641406,-0.256343,-0.085061,-0.529477,-0.52794,-0.915714,-1.17172,-0.522382,-0.40982,-0.439101,-0.334241,-0.743646,-1.27519,-0.353743,-0.653487,-0.127764,-0.159173,1.8506,
8,25.7815,1.35332,0.0643534,-0.507397,-0.177175,-1.12302,-0.667652,-0.593999,-0.405611,-0.173017,-0.275321,-0.628301,-0.13286,-0.265266,-0.290245,-0.12132,-1.49258,-0.533126,-0.851735,-0.331371,0.0188583,-1.41542,-0.421063,-0.325763,-0.109782,-0.399651,-0.338832,-1.45644,-0.396062,-1.00631,-0.0696091,-0.440277,0.218924,0.233621,-0.0730546,0.823053,
9,24.2253,0.716409,-0.100876,-0.874672,0.0637499,0.161893,-0.784068,-0.149078,-0.00895696,-0.242508,-0.0737581,-0.665481,-0.545245,-0.668102,-0.835107,-0.244062,-0.00727281,-0.776824,-0.407648,-1.14457,-0.220521,-0.602095,-0.192135,-0.415742,-1.47668,-0.40238,-0.572635,-0.61251,-0.166149,-0.451235,-0.747579,-0.760093,-0.800987,0.124607,-0.0693918,0.710672,
10,25.103,0.765964,0.112571,0.267004,0.452348,-0.467598,-0.912677,-0.398014,-0.763957,-0.595495,-0.711383,-0.776939,0.185835,-0.0215122,-0.236801,-0.7014,-1.04039,-0.592503,-0.733152,-0.132915,-0.351657,0.546806,-0.194475,-0.715788,-0.00515593,-0.905486,-0.337705,-0.368789,-1.2205,-0.666058,-0.506717,0.0697094,-0.776706,-0.230178,0.0599958,1.29306,
