Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,0,-0.0471638,-0.284166,-0.0807479,0.0362359,-0.012037,0.164643,0.498643,0.121836,-0.312497,-0.11419,0.330045,-0.346827,0.0871397,0.234274,0.11325,-0.140832,0.419346,-0.246269,-0.0669225,0.0151663,0.271826,-0.267327,0.181722,0.0896802,-0.0257662,-0.0723127,-0.117947,-0.228449,0.395216,0.160106,0.0825013,0.127723,0.187906,0.276574,0.160266,0.0240919,0.187157,0.200931,0.306247,
1,0,0.248259,-0.145373,-0.151977,-0.0237758,0.364936,-0.29657,0.18349,-0.170564,0.141609,0.112403,-0.11351,-0.0073438,-0.161495,-0.0917448,-0.16662,0.0452963,0.179682,0.183256,-0.297809,0.301351,-0.00207391,0.255614,-0.327377,-0.145497,-0.245985,0.0280493,-0.263616,-0.0586876,-0.0342982,-0.170438,-0.0148913,0.131301,-0.289521,-0.351884,0.16361,0.0212669,0.206158,0.535934,-0.222622,
2,0,-0.0651712,-0.293661,0.222124,0.326659,-0.0772473,-0.279457,-0.140784,-0.140024,-0.436647,0.245752,-0.544969,0.0845474,-0.180793,0.232118,0.0988882,0.184026,0.169594,0.0571903,0.243656,-0.0289495,-0.226931,0.210703,-0.214472,-0.190818,-0.209597,0.0136165,-0.168626,-0.0853692,-0.00716418,-0.197941,-0.36286,0.0475854,-0.100776,-0.173259,0.0911206,-0.39864,0.167296,-0.500741,0.25527,
3,0,0.0674498,-0.262518,-0.322866,0.273278,0.384044,0.772885,-0.282714,0.608231,0.231718,-0.103226,-0.00572789,-0.0687572,0.240697,-0.0834596,0.184058,-0.179202,0.236379,-0.219934,0.241613,0.103768,0.0451342,-0.0844009,-0.116507,0.00929979,0.0757816,0.0884307,0.280699,-0.0236708,-0.173752,0.260979,-0.21814,0.215667,0.0101835,-0.0765912,-0.266324,-0.194809,-0.275458,-0.241649,0.0686517,
4,0,0.0627122,0.00989032,0.171287,0.0563671,-0.168808,-0.0967956,-0.189671,0.300121,-0.178539,0.365714,-0.0712858,-0.284376,-0.18859,-0.196766,0.101936,0.252727,0.317507,-0.0793251,-0.327304,0.0743922,-0.0966658,0.305361,0.0570555,0.0370576,-0.0945816,0.00274503,0.280038,0.582208,0.115395,0.103372,0.0351627,-0.430075,0.258232,0.0968298,0.341671,0.102974,-0.0624139,0.203705,0.190037,
5,0,-0.159367,-0.12788,0.158242,-0.179997,0.339362,0.103843,0.233452,-0.328555,-0.187986,0.470389,0.124707,0.362985,-0.435242,0.100754,-0.100514,0.0136026,-0.0758622,0.193459,-0.293288,-0.190455,-0.169053,-0.0475183,0.268251,-0.139921,0.0647351,0.0824522,0.261965,0.277902,-0.0526955,0.0516368,0.609903,-0.351696,0.317484,-0.398795,-0.157036,-0.0415911,0.25462,0.010576,0.0980274,
6,0,0.0449708,-0.255402,0.37152,-0.257442,-0.0780168,0.163389,-0.268331,-0.431516,-0.33649,0.123758,0.13688,0.373023,0.512087,0.293508,0.00200274,0.721457,-0.142341,-0.114555,0.180379,-0.0543759,-0.266714,-0.00793933,-0.386685,-0.10264,0.168708,-0.0942477,-0.0332893,0.260128,0.353216,-0.136055,-0.0508227,0.146583,0.433526,-0.0191476,0.103257,0.0884717,0.0936834,0.122287,0.063854,
7,0,-0.0598519,-0.0157377,-0.178569,0.302271,0.308061,-0.000647961,0.237852,-0.0439142,-0.415783,-0.246701,0.0483475,-0.0985101,0.157404,-0.0780335,-0.525433,0.0283785,-0.233752,-0.183688,0.0749932,0.224459,0.0147797,0.0946666,0.10618,-0.200538,0.00722829,0.234907,-0.419368,0.0799654,0.0403513,0.0467319,0.198287,0.0437144,0.38447,-0.132392,-0.100826,-0.192155,-0.0151931,-0.0083059,-0.334855,
8,0,-0.0570181,0.355383,0.0383642,-0.202678,-0.147571,-0.317603,0.132553,-0.043861,-0.0173799,-0.275142,0.223951,0.240495,-0.0851085,0.0140046,-0.0687845,0.0731179,-0.0394376,0.164182,-0.10517,-0.270629,0.0422614,0.28865,0.32355,0.202793,-0.0336585,0.450524,0.191798,-0.251273,-0.218814,0.0937736,0.09159,-0.130102,0.0498384,0.159422,0.037724,0.0183203,-0.161836,-0.0939059,0.208257,
9,0,0.0713867,-0.0903211,0.116249,0.133422,0.218527,0.198917,-0.417204,-0.399966,0.151621,0.137975,-0.330076,-0.226995,0.0612253,0.0304382,0.234659,0.0857996,0.241169,0.262421,-0.100755,-0.160647,-0.0717995,0.21272,-0.227521,0.0217974,-0.0911139,-0.235353,0.0686647,-0.173832,0.105211,-0.173942,-0.344392,-0.266429,0.108657,-0.205167,-0.0865254,0.234229,0.0609252,0.0931151,0.239755,
