Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,
0,59.1277,2.40182,-0.293224,-1.23328,-1.16467,-0.707989,-1.22347,-1.61498,-0.415429,-0.50293,-1.65183,-1.36965,-1.04975,0.528485,-0.871466,-0.762412,-0.200658,0.274641,-0.466633,-0.853312,-1.1645,0.342447,0.0743821,-1.35243,-0.206605,-0.425612,-1.34422,-1.54771,0.044819,-1.12016,-0.569312,-0.640691,-2.34582,-1.09894,-0.310018,-0.805945,-1.00263,-1.50526,-0.325009,3.88162,
1,60.3371,2.95984,-0.953674,-0.931701,-1.06517,-1.66928,0.777268,1.89322,-1.69981,-2.24545,0.180494,-0.174275,-2.06069,0.368921,0.155445,-0.250416,-0.0963619,-1.32642,-1.26579,-1.54918,-1.70848,-0.102091,0.640942,-1.00171,-1.04286,-2.44517,-2.32911,-0.933755,-0.796519,-1.15809,-0.818075,-1.35056,-1.33085,-1.02753,-0.377811,-1.22008,-0.109953,-0.701829,0.311367,3.78703,
2,61.0351,4.00433,-0.1933,0.00271902,-0.409515,-1.44889,-1.05798,-2.88532,-0.521131,-0.683727,-1.19361,-1.07152,-0.34112,0.661556,-0.18199,-1.21864,-1.097,-0.921121,0.318646,-0.194021,-0.226518,-1.23848,-1.52115,-1.35525,-0.585466,-2.08723,-1.69494,-2.82979,-0.388367,0.437659,-0.368182,-0.728302,-0.40946,-0.365247,-0.197071,-1.75637,-0.398309,-0.609714,1.07883,4.57064,
3,59.7131,1.34713,-0.637662,-0.288301,-2.18487,-1.22732,-0.348373,-1.79455,-2.51051,-2.85951,-1.38043,-1.75021,-0.599261,-0.733076,-0.796485,-0.298781,-0.950304,-0.710961,-1.25989,-0.662734,-0.442086,-2.61173,-1.00964,-0.409003,-1.56559,-0.136614,-1.99005,0.219058,0.210698,-0.14218,-1.50749,0.614683,-1.93744,-0.449926,-1.70212,-0.390753,0.253716,-1.66731,0.265936,2.17825,
4,57.3293,1.83276,1.15859,-0.733208,0.134163,-0.447646,-0.157631,-1.15429,-1.19282,-0.778215,0.136209,-1.07344,-0.271298,-1.91307,-0.52402,-0.11228,-1.45308,0.168108,-0.044951,-1.10605,-0.489672,-1.26892,-0.455067,-1.28566,-0.80192,-1.48863,0.00336802,-1.99466,-0.737741,0.878749,-0.487233,-2.76502,-1.3959,-1.10531,-0.270554,1.27374,-1.18862,-1.435,-2.44012,2.19018,
5,59.9617,2.33313,-0.903911,-0.109589,0.127117,-1.40113,0.313831,-0.704779,-0.650313,-1.85428,-0.536759,0.203628,-0.171781,-0.615658,-0.398635,0.406088,0.30832,-1.43121,-0.352171,0.252089,-2.69263,-1.76823,-1.36775,-0.0199877,-1.59431,-0.588149,-0.2921,0.182062,-1.89352,-1.80759,-2.03676,-1.1271,-2.78947,-1.63184,-0.463613,-1.59437,-0.798768,-2.02699,-0.0468693,2.66495,
6,59.9371,2.1451,-0.116633,-1.17108,-0.723333,-1.56729,-0.564214,-0.719268,-0.358904,-0.173136,0.50449,-0.600668,-0.131719,-1.37875,-2.10568,-1.74893,-0.696621,0.504831,-0.68285,-0.438363,-0.515364,-1.8754,-2.13314,-3.63308,-1.40921,-1.72047,-1.20867,0.932819,-1.13614,-1.64441,-0.13012,-0.0978876,-2.64794,-0.450976,-0.261012,0.0496252,-0.858408,0.0525113,-0.536407,3.79579,
7,57.6067,3.31477,-0.764072,0.712968,0.954766,-0.230525,-1.74572,-1.43397,-0.831,-1.81326,-1.05056,-1.95937,-0.524206,-1.66754,-0.977547,-0.754402,-0.572423,-0.338226,-0.966075,0.0448179,0.0681174,-1.01649,-1.04513,-2.03515,-1.12802,-1.44412,-2.10098,-1.54549,-1.0852,-2.44088,-1.21678,-0.870247,0.416557,-0.651037,-1.51809,0.30553,-1.98126,-0.430853,0.0166361,2.55716,
8,57.7721,5.53953,-0.796976,-1.87034,-0.126202,0.0682783,-1.44065,-3.28726,0.427204,-0.0921665,-1.14885,-0.537484,-1.83961,-1.4575,0.67347,-0.883601,-1.20233,-1.74898,-0.440932,-1.06884,0.0302448,0.250519,-1.01964,-1.7977,-0.716646,-1.75492,-1.0517,-0.745831,-0.0570266,-2.13252,-0.0173842,-0.199702,-1.10772,-1.05129,-1.31584,-0.707058,-0.292024,-0.379004,-1.69592,4.13952,
9,58.3256,2.9226,-0.981613,-0.309845,-0.985146,-0.0133245,-0.875542,-0.30246,-0.889378,0.608666,-0.614711,-1.45511,-1.0705,-0.223391,-0.491126,-1.58942,-0.26006,-0.118949,0.482179,-0.620576,-1.23479,-1.21961,-0.12683,-2.27865,-0.788789,1.6028,-0.862241,-0.846543,-0.200191,-0.419237,-1.38687,-2.4339,-1.4159,-0.980525,-3.52296,-1.38483,-0.631655,-0.515335,-0.0196588,1.05416,
10,59.6836,2.30218,-0.548547,-1.67532,-0.537084,0.459522,-0.723446,-1.64035,-2.36188,-2.15289,-0.575526,-0.596281,0.593374,-1.84143,-2.16458,-1.49241,0.30438,0.185005,0.133349,-0.0529813,-0.296331,-0.929164,-1.10546,-0.504707,-1.87156,-0.999818,-0.985753,-1.64502,-1.39357,-0.114741,0.942583,-1.07136,-1.86129,-1.48156,-0.701219,-2.00796,-1.3292,-0.363031,-0.393874,2.8597,
11,58.7026,3.18043,2.2459,-1.33952,-0.900054,-1.43994,-0.698665,0.731145,-0.69749,-2.42293,0.338577,-0.0292636,-1.41663,-1.20995,-1.09622,-1.18834,0.153799,2.37587,-0.778024,-2.41774,-0.253313,-3.16852,-2.14372,-2.98072,-1.66388,-1.89566,-0.944785,-1.88797,0.167814,-1.10445,-0.858967,-1.13368,-1.20032,-1.48387,-2.77387,-0.670258,-0.917122,-0.695708,-0.447444,3.83558,
12,59.6645,3.69617,-0.582982,-2.01058,-2.339,-1.4078,-0.00576866,-0.420806,0.129573,1.17088,-1.59825,-0.579242,-0.0748928,-0.731828,-0.679058,-1.72354,-1.98184,-1.00443,-1.86794,-1.1573,-1.38562,-1.4943,-0.943972,-0.424112,-0.788351,-1.49435,-1.48986,-0.872286,-1.16948,-1.38861,-1.67053,0.0588245,-0.46802,-0.346732,1.09374,-1.58103,-0.311025,0.69702,-0.189671,4.12407,
13,57.7591,2.57744,-1.05511,-0.80779,-1.62233,0.148895,-1.04912,-2.2711,-1.4282,-1.05038,-0.215654,-1.8333,-0.682031,-0.136099,-0.331908,-0.345845,-2.15949,-0.691332,-0.521834,-0.861603,-1.39713,-0.909852,-1.90645,-1.63215,-0.482103,-1.24319,-2.21158,-0.331641,-0.891524,-1.35424,0.239075,-0.13041,-0.708824,-1.81268,-1.59211,-1.09782,-1.83806,0.204861,0.949253,3.65537,
