Sample #,time 0,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,
0,23.6129,13.7259,11.1294,9.72779,9.63483,8.67069,8.59582,10.7782,10.5461,11.9001,
1,19.4259,9.96277,9.11458,8.11028,6.13246,8.09174,6.82933,7.54594,9.28053,11.1713,
2,24.9812,14.7604,10.5899,8.00914,6.26692,5.70605,6.68937,10.2731,11.855,15.2924,
3,20.1773,12.3588,9.52758,7.88592,5.15498,5.4922,7.11915,6.97933,9.29888,12.3072,
4,22.4117,12.8685,10.3505,6.12707,7.01025,6.4192,7.67247,9.2568,10.781,13.4829,
5,22.4977,13.3186,12.4996,10.1708,10.1473,8.11274,10.0693,9.22765,11.0105,12.2545,
6,19.2014,9.79652,7.01664,2.68868,3.3109,4.43826,6.2943,7.2396,7.02557,9.40533,
7,23.0119,13.8881,10.6593,7.54508,7.6824,6.51427,6.07206,5.24891,6.36091,13.695,
8,22.9655,11.9495,10.0718,9.32014,9.04049,11.1695,10.0023,9.65158,12.2467,14.2141,
9,22.555,14.5669,12.1934,11.3033,9.52478,7.43912,6.59142,7.99611,8.40275,11.5781,
